order_date,customer,product,category,region,quantity,unit_price,discount,revenue
2024-01-01 00:00:00.000000000,Customer_496,Tablet,Electronics,Punjab,3,60000,0.19813494190533418,144335.71045703985
2024-01-01 03:30:16.923384676,Customer_31,Keyboard,Accessories,Balochistan,4,5000,0.04672682411252954,19065.46351774941
2024-01-01 07:00:33.846769353,Customer_162,Mouse,Accessories,Sindh,5,3000,0.016664957455826523,14750.025638162602
2024-01-01 10:30:50.770154030,Customer_818,Tablet,Electronics,Sindh,3,60000,0.24964020164640716,135064.7637036467
2024-01-01 14:01:07.693538707,Customer_705,Headphones,Accessories,KPK,1,8000,0.006204302861287286,7950.365577109702
2024-01-01 17:31:24.616923384,Customer_722,Smartwatch,Wearables,KPK,4,25000,0.2088110150397164,79118.89849602836
2024-01-01 21:01:41.540308061,Customer_378,Mouse,Accessories,Islamabad,5,3000,0.0913417103876632,13629.874344185051
2024-01-02 00:31:58.463692738,Customer_446,Mouse,Accessories,Islamabad,1,3000,0.21040386493945382,2368.7884051816386
2024-01-02 04:02:15.387077415,Customer_744,Tablet,Electronics,KPK,1,60000,0.13865512280278625,51680.692631832826
2024-01-02 07:32:32.310462092,Customer_427,Smartphone,Electronics,Islamabad,1,90000,0.22540780737159002,69713.29733655689
2024-01-02 11:02:49.233846769,Customer_696,Headphones,Accessories,Punjab,1,8000,0.23154824660365667,6147.614027170746
2024-01-02 14:33:06.157231446,Customer_504,Tablet,Electronics,Punjab,3,60000,0.002274545320193999,179590.5818423651
2024-01-02 18:03:23.080616123,Customer_527,Headphones,Accessories,Islamabad,3,8000,0.018853043998197067,23547.52694404327
2024-01-02 21:33:40.004000800,Customer_944,Headphones,Accessories,KPK,3,8000,0.06258968239271387,22497.847622574867
2024-01-03 01:03:56.927385477,Customer_817,Smartwatch,Wearables,Punjab,5,25000,0.16732885409087542,104083.89323864058
2024-01-03 04:34:13.850770154,Customer_721,Mouse,Accessories,Sindh,5,3000,0.2220680491278765,11668.979263081852
2024-01-03 08:04:30.774154830,Customer_684,Keyboard,Accessories,KPK,5,5000,0.11498548782349069,22125.362804412733
2024-01-03 11:34:47.697539507,Customer_778,Smartwatch,Wearables,Balochistan,2,25000,0.15174327906856636,42412.83604657168
2024-01-03 15:05:04.620924184,Customer_532,Smartwatch,Wearables,Balochistan,5,25000,0.047124963198890285,119109.37960013872
2024-01-03 18:35:21.544308861,Customer_582,Headphones,Accessories,KPK,3,8000,0.20124170847042133,19170.19899670989
2024-01-03 22:05:38.467693538,Customer_520,Monitor,Electronics,Islamabad,3,45000,0.24183202783836744,102352.6762418204
2024-01-04 01:35:55.391078215,Customer_941,Mouse,Accessories,Punjab,2,3000,0.06714973322864937,5597.101600628103
2024-01-04 05:06:12.314462892,Customer_34,Smartphone,Electronics,Punjab,2,90000,0.12370648790013658,157732.83217797542
2024-01-04 08:36:29.237847569,Customer_736,Smartwatch,Wearables,KPK,5,25000,0.02152902762659345,122308.87154667581
2024-01-04 12:06:46.161232246,Customer_691,Keyboard,Accessories,Sindh,4,5000,0.1397841641157421,17204.316717685157
2024-01-04 15:37:03.084616923,Customer_758,Monitor,Electronics,Islamabad,2,45000,0.12569586046167014,78687.37255844969
2024-01-04 19:07:20.008001600,Customer_490,Monitor,Electronics,Sindh,1,45000,0.0361091210387694,43375.08955325538
2024-01-04 22:37:36.931386277,Customer_772,Smartphone,Electronics,KPK,3,90000,0.11051655327951876,240160.53061452994
2024-01-05 02:07:53.854770954,Customer_620,Smartwatch,Wearables,KPK,1,25000,0.08352616302164081,22911.84592445898
2024-01-05 05:38:10.778155631,Customer_754,Keyboard,Accessories,Sindh,3,5000,0.13045771882629734,13043.13421760554
2024-01-05 09:08:27.701540308,Customer_423,Mouse,Accessories,Balochistan,3,3000,0.1464135838571998,7682.2777452852015
2024-01-05 12:38:44.624924985,Customer_468,Laptop,Electronics,KPK,2,150000,0.002123894651802377,299362.83160445926
2024-01-05 16:09:01.548309661,Customer_24,Keyboard,Accessories,Islamabad,2,5000,0.19025149573738884,8097.485042626111
2024-01-05 19:39:18.471694338,Customer_216,Smartphone,Electronics,Sindh,1,90000,0.1782535729654352,73957.17843311084
2024-01-05 23:09:35.395079015,Customer_55,Monitor,Electronics,Balochistan,3,45000,0.09157159655163055,122637.83446552987
2024-01-06 02:39:52.318463692,Customer_26,Mouse,Accessories,Sindh,1,3000,0.013233983892204565,2960.2980483233864
2024-01-06 06:10:09.241848369,Customer_281,Keyboard,Accessories,Balochistan,4,5000,0.1887331349462626,16225.337301074747
2024-01-06 09:40:26.165233046,Customer_804,Laptop,Electronics,Balochistan,1,150000,0.2387937901195331,114180.93148207002
2024-01-06 13:10:43.088617723,Customer_327,Laptop,Electronics,Islamabad,5,150000,0.06003789900550355,704971.5757458723
2024-01-06 16:41:00.012002400,Customer_970,Headphones,Accessories,KPK,1,8000,0.08088115343425947,7352.950772525924
2024-01-06 20:11:16.935387077,Customer_186,Headphones,Accessories,Balochistan,5,8000,0.04595322237045374,38161.87110518185
2024-01-06 23:41:33.858771754,Customer_495,Tablet,Electronics,KPK,5,60000,0.14423403083620992,256729.79074913703
2024-01-07 03:11:50.782156431,Customer_12,Smartphone,Electronics,Islamabad,5,90000,0.038710348661863736,432580.3431021613
2024-01-07 06:42:07.705541108,Customer_641,Smartwatch,Wearables,KPK,4,25000,0.08904848586534486,91095.15141346552
2024-01-07 10:12:24.628925785,Customer_884,Keyboard,Accessories,Punjab,1,5000,0.17425325348356574,4128.733732582172
2024-01-07 13:42:41.552310462,Customer_434,Keyboard,Accessories,Balochistan,1,5000,0.1400289957523371,4299.855021238314
