student_id,gender,age,study_hours,attendance,sleep_hours,previous_score,assignments_completed,class_participation,internet_access,parental_support,final_score
1,Male,19,1.524276593018754,70.60622245328847,7.9404183388436405,46.65885160926794,96,38,Yes,Medium,39.52550105049381
2,Female,24,2.2496277965376765,73.28790415768698,7.009046356549121,55.76133524928406,50,72,Yes,High,51.5014687882915
3,Male,23,5.277637820527427,65.61808139125878,7.7857758452377865,36.966530436670645,90,21,Yes,Medium,41.5746559554415
4,Male,24,2.1522533473879424,67.32897405034899,5.782819543923055,63.892505765028254,78,72,Yes,Medium,37.04163172513802
5,Male,24,6.725268610406603,83.21252306434042,7.172063515875785,73.80678031891998,64,30,Yes,High,54.010663750644824
6,Female,19,4.357759418339328,79.5793844792729,6.1608841511393,44.78862548811959,85,33,No,Low,47.09358524297777
7,Male,22,4.671189407889051,83.89903809108569,5.535551616308536,65.25530405934421,78,67,Yes,Medium,67.08029515271625
8,Male,20,3.943254064784212,80.56817267641004,5.9666705463147816,52.93021957735372,98,77,Yes,Medium,21.42116925736564
9,Male,19,6.045695677087446,86.45206321377114,6.346627489868969,75.03201253046358,63,58,Yes,Low,64.34513247558998
10,Female,21,6.066319775554021,88.53856797785994,8.493633432428622,30.283893630516452,61,7,Yes,High,37.93452015783696
11,Male,19,5.170108703824343,57.09940056160675,6.314871520608809,75.67833272073496,82,52,Yes,Medium,52.93471840729788
12,Male,21,5.629578211815296,67.74828419502765,5.474151699666132,37.7336510382047,90,98,No,Low,25.329491634096527
13,Male,24,4.075820660159149,75.22348851011954,7.157772906996002,61.850894806649094,87,85,No,Medium,45.287483494603734
14,Male,23,5.584406013818097,77.7278696941519,7.0350167928132095,54.36622825275952,88,53,Yes,Medium,49.73123019517502
15,Female,19,3.8242444490523866,69.9589131141836,6.409536385587763,59.58945609786707,97,69,Yes,High,51.95148864305134
16,Male,21,4.504463244324804,88.94428405185967,6.806531840984648,42.05913864833849,85,96,Yes,Medium,34.90880859764327
17,Female,19,3.950712501267405,100.0,8.171472503195885,89.90206460770673,95,17,Yes,Medium,66.08951608969097
18,Female,23,3.5855629213616083,80.2339434669808,7.8048469184790115,45.70155383584495,61,7,No,Medium,45.96455057712179
19,Female,24,3.1217764045564196,79.01209238637854,7.701076248248477,46.88519591036412,54,6,Yes,Low,48.05936633873743
20,Male,19,5.435380207717771,88.19347506125197,5.579585458575724,91.92230877628276,57,95,Yes,High,63.75982949255189
21,Female,18,7.121211825626927,55.609922937558764,10.463857674058387,69.84052454113495,83,6,Yes,Medium,49.92452426720476
22,Male,21,6.842203943339118,78.34162728526093,8.261502652329066,46.186152148091026,84,9,Yes,Medium,66.95015771446788
23,Female,23,1.9868693281091292,89.74842990561021,7.620434275829046,63.06818486144232,71,35,Yes,Medium,32.67086122494281
24,Female,21,7.078406102813746,70.28215203358666,5.602825870723349,61.46405796071302,97,61,Yes,Medium,57.688908671930825
25,Female,21,3.863682996764142,63.28127304117642,,39.68523743638053,95,50,Yes,Medium,41.25143150927526
26,Female,17,5.701466030291183,75.77033267880266,6.398645787640806,53.62606108972657,75,94,Yes,Medium,62.44670906192243
27,Female,23,2.687569335905578,77.27177480157695,6.766875034436842,64.60428932187048,49,30,Yes,Low,39.6469752080072
28,Female,19,4.783959827748011,67.0961726170145,4.98306486872886,83.99626858756328,48,9,Yes,Medium,48.74298858182298
29,Female,21,5.127446365793814,100.0,5.510220296871389,62.16755235160956,83,83,Yes,Medium,77.10434672090699
30,Female,22,1.5307904161606944,72.25564342790466,7.526255798592562,63.29532188578989,64,34,Yes,Medium,50.22088069774571
31,Male,17,5.716534332688378,64.15608778288117,8.207481610324589,52.77249993559701,96,28,Yes,Low,51.43911221398837
32,Male,18,7.19187001567663,76.87654417115266,7.821885303754042,81.43836171812352,43,93,Yes,High,57.43609933294669
33,Female,21,4.150704108636744,88.8943276524539,7.780982796091538,78.53482627251427,77,48,Yes,High,60.7370288661785
34,Female,24,7.220336261656026,,6.922280251648352,76.84002159472277,85,30,Yes,High,70.38195752013752
35,Female,21,4.120613013095185,83.82712704052803,6.511951581560545,66.67758297604372,75,96,Yes,Medium,46.914204085443544
36,Male,17,6.199169062093235,67.54187286800212,7.3466741722784725,41.02139657144485,97,67,Yes,Low,38.90522473685765
37,Female,19,0.06286006809780087,95.85226135684216,7.9856899877203285,81.30004848264554,81,97,No,Medium,54.473183104625626
38,Male,22,9.337555558626928,84.74053233502131,7.00583470592031,65.85994621906673,76,16,Yes,Medium,69.15127973557725
39,Male,24,7.490916490485914,90.57241882653132,8.452302423896086,60.37112717770484,78,97,No,High,68.17021753839654
40,Male,18,3.930748991492642,82.38192758970203,6.7419168834207905,71.72688592838948,46,95,Yes,High,49.46464493828122
41,Male,24,0.555821946712364,87.8986084527454,5.823665277644738,68.36284555742024,81,96,Yes,Medium,46.7068690113104
42,Male,21,5.076056736610978,67.52336928387328,6.987565309550799,48.96203009657151,93,36,Yes,High,50.24021930758957
43,Female,19,1.6121489058524863,72.10307499972525,7.127166733911482,60.18803207770933,99,94,No,Low,49.098589014800545
44,Female,23,5.389707075114976,94.15776714667236,6.901563919268309,36.438608113765056,65,89,Yes,High,46.5853098954032
45,Female,22,5.323131438328564,96.71690336740757,8.536786673058714,66.29039951898436,59,94,Yes,High,50.03663260215782
46,Female,23,2.6171936619959504,64.23521280337107,7.9663623768688465,84.9519165095171,84,94,Yes,Medium,50.12695689880372
47,Female,22,6.741934047228755,80.99683281436575,5.282870813653949,38.06577293797287,99,27,Yes,High,62.97506717187716
48,Male,18,6.1111494056123465,72.82867439417727,8.841240417037943,66.92942104717214,100,37,No,High,61.039202942162454
49,Female,20,6.451646674577127,69.63562236762166,3.710299527004993,75.02717800691785,86,9,Yes,Low,58.0349195361149
50,Female,22,4.517715407337791,81.4180763442654,9.581229247422996,77.245354755867,60,71,Yes,Medium,49.440944582272955
51,Male,20,1.6689518661725868,91.6915551883849,6.6552333837317486,53.80715358768683,44,99,,Medium,35.25279456907093
52,Female,23,6.455744544422275,83.41994967941032,6.7725187160182,48.46653905502494,96,82,Yes,Medium,52.48513941590179
53,Male,22,3.9592572017284176,74.16585060097158,6.927980513231632,56.194220523162,69,27,Yes,Low,33.85425272158936
54,Female,18,1.7204397136146619,84.17833415922192,7.462246519408216,82.86306544939177,87,68,Yes,Medium,58.55278467077259
55,Male,17,7.204078731948652,73.68028591702918,6.999684158479789,39.35666532014055,98,87,Yes,Medium,66.43433044119791
56,Female,18,8.69881504100502,82.94537160876722,6.839925773395279,46.760495074222845,77,6,Yes,Medium,43.747228629160546
57,Female,18,4.417503742041594,94.7575884054688,8.570701971227422,58.11845773211327,75,83,Yes,Medium,45.53566161556242
58,Male,17,8.818242309206584,53.074084088390066,7.67871529570102,50.36493173131795,77,1,Yes,Medium,53.47586139295797
59,Male,17,4.682629457222699,87.5670275824804,5.849435374755086,64.37490896878943,62,56,Yes,Medium,52.39189036579999
60,Male,19,3.739088191667298,59.531340941154376,7.88880869720287,86.21788909143132,62,9,Yes,High,50.41864490084154
61,Male,22,3.2390830916290447,92.73993252653354,7.628928403820007,46.94272329787634,97,81,Yes,Medium,51.117146925674405
62,Male,23,7.774164815985484,70.35569268152567,6.345671529302537,62.8045073525335,87,97,,High,74.90534299934394
63,Male,19,2.939712237224456,63.38794346872219,7.950566111634593,64.87623545899285,90,13,Yes,Low,30.373110253867996
64,Male,17,5.970538619949975,86.34323072506497,6.810912878532353,59.98120627148059,45,73,Yes,High,69.55500953983291
65,Male,20,3.3816723298815834,82.37004075770894,6.733991833449879,41.32362535878168,82,31,No,High,37.18885601528572
66,Female,23,3.579386474851274,66.0097571644601,6.701304259080478,55.43261716734665,85,52,Yes,Medium,40.801214817758435
67,Female,20,6.560499387939133,62.96400291397927,4.08625833165712,55.477454726753066,62,2,Yes,High,47.50713798131897
68,Male,18,3.7399263074212925,75.75022215010462,6.367960800478478,74.50255933456367,54,47,Yes,High,44.157039663286994
69,Female,21,3.6904092411594136,63.55095659794564,7.855807890550722,71.29368946547757,40,7,Yes,Low,63.9268565742705
70,Female,18,6.765609394349614,65.26232432491646,6.973106508515484,41.721563757038034,75,8,Yes,Medium,47.43080803458272
71,Female,18,7.694794586443246,79.3874494850572,5.4577762841731,59.192954629748314,78,74,No,High,65.52793507330722
72,Female,21,5.789379606568467,66.40954038893884,8.157557506230445,57.496171877243654,67,15,Yes,Medium,57.27126314444859
73,Male,22,3.1904604487521016,83.11847148031852,6.641679808547925,94.3204292557587,49,97,Yes,High,60.15445707969217
74,Female,17,3.478783001404841,95.88172315060172,5.534109411206172,69.38469770452434,72,87,Yes,Medium,47.53756341588322
75,Male,20,4.659830527480075,76.21733502119301,9.647214954005218,48.838423714541975,85,30,Yes,,49.87017788992318
76,Female,18,,79.56181274382702,5.736192886614694,53.34803116097524,63,4,Yes,Medium,40.67284252840692
77,Female,21,2.5242681797204565,100.0,8.055389813542853,59.321819012069156,45,96,Yes,Medium,51.4032187608126
78,Female,19,5.946075879159728,63.74878659147184,6.076823078974474,70.43551363087313,53,93,Yes,Medium,47.19306697155658
79,Male,18,4.671026659279198,92.2948223421689,7.162992201488586,72.27381419243358,93,93,Yes,Medium,57.61382862291318
80,Female,20,1.068583362723741,90.85029117494979,5.9173828439581895,68.00723964037168,71,78,Yes,Medium,42.42915081669231
81,Male,17,2.642147035078539,88.2518080700854,5.51283498247161,61.853521315456035,58,38,Yes,Medium,33.0845664474587
82,Female,18,3.4917426526966726,93.50097420879158,7.626643053605691,62.959995137144865,45,15,Yes,High,37.98782511788026
83,Male,18,4.3542846223178895,81.36689959150343,7.486348654161281,63.06546160378822,59,89,Yes,High,53.82519208109515
84,Female,22,8.278557591007992,71.00484605280879,8.373579333062878,38.25635154071172,64,63,No,Low,35.665436002586944
85,Male,24,4.9763426122792564,91.13487949464681,6.9587416836449645,64.08062567534479,100,75,Yes,High,58.40681021601918
86,Male,21,2.8184562202027497,91.59410654055473,9.66442215295179,56.34118916308441,59,82,No,Medium,47.65308595193319
87,Female,19,4.941261608614327,91.26376681791945,7.322016000924442,40.20754668822904,77,46,Yes,,55.41554574045722
88,Male,19,3.795824505092238,78.53402498783083,7.6801296174846545,100.0,50,58,Yes,Medium,48.98509157972917
89,Female,23,5.149516479067083,69.40566583664008,5.369884905871326,69.66955408980678,100,98,Yes,Medium,52.39017747622482
90,Female,17,5.66113537407123,,6.263098821852963,65.19654887417445,71,19,Yes,Low,32.657251705604835
91,Female,23,6.9184612944478765,89.30676021081403,7.623615640619173,59.43308014106316,68,20,Yes,High,59.769612890102266
