transaction_id,customer_id,order_date,product,category,region,payment_method,quantity,unit_price,discount,revenue,customer_age,customer_gender,customer_type,rating,shipping_cost,year,month,month_name,day_of_week,quarter,year_week,gross_revenue,discount_amount,estimated_profit,discount_group
100001,1861,2024-01-01 00:00:00.000000000,Tablet,Electronics,North,Bank Transfer,6.0,535.3535588172458,0.21587295937399,2518.711210583817,39.0,Female,Returning,2.291161539566168,32.17223471363794,2024,1,January,Monday,1,1,3212.121352903475,693.4101423196577,1007.4844842335268,20-30%
100002,2295,2024-01-01 01:10:05.080338689,Mouse,Accessories,West,Online,3.0,40.227432531592285,0.2316373484801364,92.727770171432,69.0,Male,New,4.354553741351641,19.386850250567207,2024,1,January,Monday,1,1,120.68229759477686,27.954527423344853,37.0911080685728,20-30%
100003,2131,2024-01-01 02:20:10.160677378,Tablet,Electronics,North,Bank Transfer,4.0,519.4257846301138,0.2676522391671527,1521.6012411708343,39.0,Female,New,2.738000204194358,26.691012451577755,2024,1,January,Monday,1,1,2077.703138520455,556.1018973496206,608.6404964683337,20-30%
100004,2096,2024-01-01 03:30:15.241016067,Smartphone,Electronics,West,Bank Transfer,2.0,698.1048177463182,0.0456096785038181,1332.5289628938842,24.0,Female,VIP,4.33045648408712,18.66510527445421,2024,1,January,Monday,1,1,1396.2096354926364,63.6806725987522,533.0115851575537,0-5%
100005,2639,2024-01-01 04:40:20.321354756,Smartwatch,Wearables,North,Bank Transfer,4.0,284.9859319275252,0.2870232685926009,812.7533529711139,56.0,Female,Returning,3.3569145766646726,42.21517162870363,2024,1,January,Monday,1,1,1139.9437277101008,327.190374738987,325.1013411884456,20-30%
100006,3170,2024-01-01 05:50:25.401693446,Laptop,Electronics,North,Cash,3.0,1021.384731280978,0.2995567202400409,2146.266213225578,54.0,Male,Returning,4.628603993943841,11.871001796915175,2024,1,January,Monday,1,1,3064.154193842934,917.8879806173558,858.5064852902314,20-30%
100007,1467,2024-01-01 07:00:30.482032135,Camera,Electronics,South,Card,4.0,1019.11305162665,0.0043459630890967,4058.736095682655,32.0,Female,Returning,2.914192519180628,18.633729339055527,2024,1,January,Monday,1,1,4076.4522065066,17.716110823944483,1623.494438273062,0-5%
100008,2239,2024-01-01 08:10:35.562370824,Monitor,Electronics,East,Bank Transfer,5.0,306.14251726998936,0.0273910903930772,1488.7846995314144,36.0,Female,New,4.732695568763445,27.797180714297628,2024,1,January,Monday,1,1,1530.7125863499468,41.92788681853238,595.5138798125657,0-5%
100009,1331,2024-01-01 09:20:40.642709513,Printer,Office,South,Bank Transfer,3.0,204.0458298114845,0.1301856641304515,532.4459638332819,27.0,Male,Returning,1.5096143811450164,18.500993461336243,2024,1,January,Monday,1,1,612.1374894344535,79.69152560117156,212.97838553331277,10-20%
100010,2483,2024-01-01 10:30:45.723048203,Headphones,Accessories,North,Card,7.0,124.95819970806951,0.010325323336955,865.6757612473593,54.0,Male,VIP,4.235813660640454,43.79331715050934,2024,1,January,Monday,1,1,874.7073979564866,9.031636709127294,346.27030449894374,0-5%
100011,3136,2024-01-01 11:40:50.803386892,Tablet,Electronics,South,Card,6.0,525.9345703025715,0.2204692278308643,2459.893090190437,54.0,Female,Returning,1.883170610278551,45.280781391680335,2024,1,January,Monday,1,1,3155.607421815429,695.7143316249922,983.9572360761748,20-30%
100012,3920,2024-01-01 12:50:55.883725581,Mouse,Accessories,South,Online,2.0,42.763979738533216,0.1952190364716121,68.83127363657043,67.0,Female,Returning,1.9199234360346185,41.25020460878754,2024,1,January,Monday,1,1,85.52795947706643,16.69668584049599,27.532509454628173,10-20%
100013,1131,2024-01-01 14:01:00.964064270,Camera,Electronics,North,Card,2.0,769.4381936844158,0.2327570520400597,1180.692055990805,21.0,Female,Returning,1.262495432536737,44.84635010321223,2024,1,January,Monday,1,1,1538.8763873688315,358.1843313780262,472.2768223963221,20-30%
100014,2686,2024-01-01 15:11:06.044402960,Camera,Electronics,South,Card,4.0,1030.3512490217674,0.2995250182030308,2886.941089612028,63.0,Female,New,3.9272294576572016,24.358052419800558,2024,1,January,Monday,1,1,4121.40499608707,1234.4639064750415,1154.7764358448112,20-30%
100015,1770,2024-01-01 16:21:11.124741649,Headphones,Accessories,North,Cash,4.0,124.2448656482881,0.2800249293077083,357.81282371312204,67.0,Male,New,3.5752895925384496,29.270903506799595,2024,1,January,Monday,1,1,496.9794625931524,139.16663888003035,143.12512948524883,20-30%
100016,3392,2024-01-01 17:31:16.205080338,Printer,Office,South,Online,7.0,211.9173890607409,0.0899548038140632,1349.9808133209542,58.0,Male,Returning,2.340362105088477,33.5479425577944,2024,1,January,Monday,1,1,1483.4217234251864,133.4409101042322,539.9923253283818,5-10%
100017,2516,2024-01-01 18:41:21.285419027,Keyboard,Accessories,North,Cash,7.0,71.48365805229886,0.1189392876981049,440.8700987705248,42.0,Male,Returning,4.903152779364783,40.16658268127326,2024,1,January,Monday,1,1,500.385606366092,59.515507595567286,176.34803950820992,10-20%
100018,3854,2024-01-01 19:51:26.365757717,Camera,Electronics,West,Card,4.0,813.17389211535,0.2327901407349232,2495.500109311409,45.0,Male,VIP,1.232493350786028,20.71056058560085,2024,1,January,Monday,1,1,3252.6955684614,757.1954591499904,998.2000437245636,20-30%
100019,3434,2024-01-01 21:01:31.446096406,Smartphone,Electronics,West,Bank Transfer,6.0,739.3439721848684,0.1164454742318458,3919.504276340069,66.0,Male,New,4.079445526044276,7.771640879018832,2024,1,January,Monday,1,1,4436.0638331092105,516.5595567691416,1567.8017105360277,10-20%
100020,2216,2024-01-01 22:11:36.526435095,Smartphone,Electronics,East,Online,5.0,700.5870807288806,0.2095903758663478,2768.753855759036,43.0,Male,New,2.055654622818771,44.11757110755592,2024,1,January,Monday,1,1,3502.935403644403,734.1815478853671,1107.5015423036145,20-30%
100021,1956,2024-01-01 23:21:41.606773784,Keyboard,Accessories,South,Card,2.0,77.96390659181635,0.2755867801999863,112.9561692047304,35.0,Male,Returning,1.2680505143517422,39.755743041430485,2024,1,January,Monday,1,1,155.9278131836327,42.97164397890231,45.18246768189216,20-30%
100022,3325,2024-01-02 00:31:46.687112474,Laptop,Electronics,East,Card,3.0,1110.5760414463018,0.1217632989801669,2926.0459166143964,65.0,Female,New,3.546990722660041,27.355050985945372,2024,1,January,Tuesday,1,1,3331.728124338905,405.68220772450877,1170.4183666457586,10-20%
100023,2185,2024-01-02 01:41:51.767451163,Smartwatch,Wearables,North,Bank Transfer,3.0,267.9782852460371,0.1681557050183106,668.7486232826753,52.0,Female,New,2.3163977605170776,8.745477613701421,2024,1,January,Tuesday,1,1,803.9348557381113,135.1862324554359,267.49944931307016,10-20%
100024,1460,2024-01-02 02:51:56.847789852,Keyboard,Accessories,West,Bank Transfer,2.0,65.25817233907752,0.252438279889206,97.56902313017486,36.0,Male,VIP,2.802038507799638,24.550743280253336,2024,1,January,Tuesday,1,1,130.51634467815504,32.94732154798018,39.027609252069944,20-30%
100025,1022,2024-01-02 04:02:01.928128541,Printer,Office,North,Bank Transfer,6.0,196.6352508664084,0.1433009767425412,1010.7433641314248,59.0,Female,Returning,2.891132791289322,7.396348280926404,2024,1,January,Tuesday,1,1,1179.8115051984505,169.06814106702566,404.2973456525699,10-20%
100026,3301,2024-01-02 05:12:07.008467231,Smartphone,Electronics,East,Online,7.0,705.9522729475082,0.0867394744425409,4513.0284066736685,37.0,Female,New,1.1627269399643598,27.083590054595103,2024,1,January,Tuesday,1,1,4941.665910632557,428.6375039588883,1805.2113626694675,5-10%
100027,1748,2024-01-02 06:22:12.088805920,Camera,Electronics,North,Cash,7.0,997.2659746954444,0.0774507083933572,6440.189129490834,56.0,Male,VIP,3.127140750476552,8.380015055995681,2024,1,January,Tuesday,1,1,6980.861822868111,540.672693377278,2576.0756517963337,5-10%
100028,3905,2024-01-02 07:32:17.169144609,Smartphone,Electronics,North,Online,4.0,708.7368283398646,0.0215651449074977,2773.8112637417403,50.0,Female,New,1.1572890639765467,38.421280437401165,2024,1,January,Tuesday,1,1,2834.9473133594583,61.13604961771801,1109.524505496696,0-5%
100029,1475,2024-01-02 08:42:22.249483298,Monitor,Electronics,North,Bank Transfer,1.0,262.8434264694707,0.0991087315193383,236.79334788388505,18.0,Male,New,1.7318544133756824,10.430743340078218,2024,1,January,Tuesday,1,1,262.8434264694707,26.050078585585712,94.71733915355402,5-10%
100030,2083,2024-01-02 09:52:27.329821988,Smartwatch,Wearables,North,Online,4.0,213.2016089166468,0.2057577669757959,677.3348878012423,64.0,Male,Returning,3.8670148855483086,21.421435466967697,2024,1,January,Tuesday,1,1,852.8064356665872,175.47154786534472,270.93395512049693,20-30%
100031,3559,2024-01-02 11:02:32.410160677,Mouse,Accessories,West,Bank Transfer,6.0,38.39728059233123,0.0176524666106501,226.316843272412,18.0,Male,Returning,3.894425645224186,18.63331493196322,2024,1,January,Tuesday,1,1,230.38368355398737,4.06684028157534,90.52673730896481,0-5%
