transaction_id,customer_id,order_date,product,category,region,payment_method,quantity,unit_price,discount,revenue,customer_age,customer_gender,customer_type,rating,shipping_cost
100001,1861,2024-01-01 00:00:00.000000000,Tablet,Electronics,North,Bank Transfer,6,535.3535588172458,0.21587295937399004,2518.711210583817,39.0,Female,Returning,2.291161539566168,32.17223471363794
100002,2295,2024-01-01 01:10:05.080338689,Mouse,Accessories,West,Online,3,40.227432531592285,0.23163734848013642,92.727770171432,69.0,Male,New,4.354553741351641,19.386850250567207
100003,2131,2024-01-01 02:20:10.160677378,Tablet,Electronics,North,Bank Transfer,4,519.4257846301138,0.26765223916715275,1521.6012411708343,39.0,Female,New,2.738000204194358,26.691012451577755
100004,2096,2024-01-01 03:30:15.241016067,Smartphone,Electronics,West,Bank Transfer,2,698.1048177463182,0.04560967850381816,1332.5289628938842,24.0,Female,VIP,4.33045648408712,18.665105274454206
100005,2639,2024-01-01 04:40:20.321354756,Smartwatch,Wearables,North,Bank Transfer,4,284.9859319275252,0.2870232685926009,812.7533529711139,56.0,Female,Returning,3.3569145766646726,42.21517162870363
100006,3170,2024-01-01 05:50:25.401693446,Laptop,Electronics,,Cash,3,1021.3847312809779,0.2995567202400409,2146.266213225578,54.0,Male,Returning,4.628603993943841,11.871001796915177
100007,1467,2024-01-01 07:00:30.482032135,Camera,Electronics,South,Card,4,1019.11305162665,0.00434596308909676,4058.736095682655,32.0,Female,Returning,2.9141925191806277,18.633729339055527
100008,2239,2024-01-01 08:10:35.562370824,Monitor,Electronics,East,Bank Transfer,5,306.14251726998936,0.027391090393077275,1488.7846995314144,36.0,Female,New,4.732695568763445,27.797180714297628
100009,1331,2024-01-01 09:20:40.642709513,Printer,Office,South,Bank Transfer,3,204.0458298114845,0.13018566413045154,532.4459638332819,27.0,Male,Returning,1.5096143811450164,18.500993461336243
100010,2483,2024-01-01 10:30:45.723048203,Headphones,Accessories,North,Card,7,124.95819970806951,0.010325323336955005,865.6757612473593,54.0,Male,VIP,4.235813660640454,43.79331715050934
100011,3136,2024-01-01 11:40:50.803386892,Tablet,Electronics,South,Card,6,525.9345703025715,0.22046922783086434,2459.893090190437,54.0,Female,Returning,1.883170610278551,45.280781391680335
100012,3920,2024-01-01 12:50:55.883725581,Mouse,Accessories,South,Online,2,42.763979738533216,0.19521903647161218,68.83127363657043,67.0,Female,Returning,1.9199234360346185,41.25020460878754
100013,1131,2024-01-01 14:01:00.964064270,Camera,Electronics,North,Card,2,769.4381936844158,0.23275705204005975,1180.6920559908053,21.0,Female,Returning,1.262495432536737,44.84635010321223
100014,2686,2024-01-01 15:11:06.044402960,Camera,Electronics,South,Card,4,1030.3512490217674,0.29952501820303085,2886.9410896120276,63.0,Female,New,3.9272294576572024,24.358052419800554
100015,1770,2024-01-01 16:21:11.124741649,Headphones,Accessories,North,Cash,4,124.2448656482881,0.2800249293077083,357.81282371312204,67.0,Male,New,3.5752895925384496,29.270903506799595
100016,3392,2024-01-01 17:31:16.205080338,Printer,Office,South,Online,7,211.9173890607409,0.08995480381406322,1349.9808133209542,58.0,Male,Returning,2.340362105088477,33.5479425577944
100017,2516,2024-01-01 18:41:21.285419027,Keyboard,Accessories,North,Cash,7,71.48365805229886,0.11893928769810491,440.87009877052475,42.0,Male,Returning,4.903152779364783,40.16658268127326
