order_id,order_date,customer_id,age,gender,city,region,category,product,unit_price,quantity,discount,payment_method,customer_type,rating,revenue
ORD102307,2024-01-01,1293,18.0,Female,Rawalpindi,North,Electronics,Smartphone,815.67,1,0.0,Credit Card,Returning,3.9,815.67
ORD100603,2024-01-01,1664,18.0,Male,Faisalabad,East,Electronics,Smartphone,738.92,4,0.1,Cash,Returning,4.1,2660.11
ORD103112,2024-01-01,1399,42.0,Female,Islamabad,North,Accessories,Wallet,50.23,5,0.1,Debit Card,Returning,3.6,226.04
ORD102049,2024-01-01,1549,36.0,Male,Peshawar,West,Clothing,Jeans,66.89,1,0.1,Bank Transfer,Returning,5.0,60.2
ORD101992,2024-01-01,1122,18.0,Male,Quetta,West,Electronics,Monitor,279.56,7,0.0,Credit Card,Returning,4.4,1956.92
ORD103548,2024-01-01,1549,19.0,Male,Faisalabad,East,Electronics,Monitor,287.0,2,0.15,Digital Wallet,Returning,3.7,487.9
ORD101797,2024-01-01,1082,25.0,Female,Peshawar,West,Clothing,T-Shirt,29.67,3,0.15,Debit Card,Returning,3.8,75.66
ORD101619,2024-01-01,1414,29.0,Female,Lahore,East,Accessories,Sunglasses,76.23,1,0.0,Digital Wallet,New,4.2,76.23
ORD103483,2024-01-02,1533,38.0,Male,Rawalpindi,North,Electronics,Mouse,35.46,1,0.3,Debit Card,VIP,3.8,24.82
ORD100571,2024-01-02,1253,19.0,Male,Quetta,West,Clothing,Shoes,86.02,4,0.0,Debit Card,New,3.9,344.08
ORD103943,2024-01-02,1450,24.0,Female,Peshawar,West,Electronics,Headphones,122.92,3,0.05,Bank Transfer,Returning,4.9,350.32
ORD103539,2024-01-02,1757,37.0,Male,Rawalpindi,North,Electronics,Laptop,1266.81,1,0.0,Digital Wallet,New,3.1,1266.81
ORD102584,2024-01-02,1466,33.0,Male,Multan,South,Electronics,Keyboard,75.44,3,0.1,Credit Card,New,4.6,203.69
ORD102250,2024-01-02,1089,34.0,Female,Peshawar,West,Accessories,Backpack,49.25,3,0.0,Credit Card,Returning,3.4,147.75
ORD103327,2024-01-03,1075,37.0,Male,Quetta,West,Clothing,T-Shirt,29.88,3,0.0,Digital Wallet,New,3.9,89.64
ORD102012,2024-01-03,1318,49.0,Male,Multan,South,Clothing,Shoes,95.34,1,0.2,Credit Card,Returning,4.3,76.27
ORD100099,2024-01-03,1792,34.0,Female,Karachi,South,Clothing,T-Shirt,30.01,2,0.1,Digital Wallet,Returning,2.8,54.02
ORD100925,2024-01-04,1672,40.0,Female,Multan,South,Clothing,Shoes,98.17,2,0.1,Bank Transfer,VIP,4.0,176.71
ORD103164,2024-01-04,1514,42.0,Male,Multan,South,Clothing,Shoes,88.16,3,0.3,Credit Card,Returning,3.3,185.14
ORD103093,2024-01-04,1400,28.0,Female,Lahore,East,Clothing,Shoes,89.4,1,0.1,Digital Wallet,New,2.7,80.46
ORD102802,2024-01-04,1368,34.0,Male,Karachi,South,Accessories,Wallet,47.45,3,0.0,Cash,New,5.0,142.35
ORD101130,2024-01-04,1779,45.0,Female,Islamabad,North,Accessories,Backpack,51.44,2,0.0,Debit Card,Returning,4.6,102.88
ORD100849,2024-01-05,1551,24.0,Female,Quetta,West,Electronics,Smartphone,735.93,7,0.1,Digital Wallet,VIP,5.0,4636.36
ORD100707,2024-01-05,1451,18.0,Male,Rawalpindi,North,Electronics,Monitor,299.5,7,0.2,Credit Card,VIP,4.1,1677.2
ORD100770,2024-01-05,1090,35.0,Female,Peshawar,West,Electronics,Monitor,299.96,1,0.05,Debit Card,New,4.4,284.96
ORD102690,2024-01-05,1742,39.0,Male,Faisalabad,East,Clothing,T-Shirt,31.46,3,0.0,Credit Card,New,3.1,94.38
ORD104737,2024-01-06,1134,39.0,Male,Lahore,East,Clothing,T-Shirt,28.72,7,0.2,Debit Card,VIP,2.8,160.83
ORD100843,2024-01-06,1488,51.0,Female,Rawalpindi,North,Clothing,Shoes,97.89,3,0.0,Debit Card,Returning,3.9,293.67
ORD104333,2024-01-06,1141,39.0,Male,Islamabad,North,Electronics,Smartphone,760.39,1,0.0,Bank Transfer,Returning,4.2,760.39
ORD100649,2024-01-06,1039,45.0,Male,Faisalabad,East,Accessories,Backpack,60.21,1,0.15,Debit Card,Returning,4.7,51.18
