employee_id,age,gender,department,job_role,years_at_company,years_in_current_role,monthly_salary,performance_rating,work_life_balance,job_satisfaction,environment_satisfaction,relationship_satisfaction,overtime,companies_worked_before,distance_from_home,training_hours,promotion,attrition,remote_work,education,marital_status,hire_date,last_promotion_date,hire_quarter,days_since_promotion,tenure_category
1001,24,Male,Engineering,Senior,7.3,0.4,5788.29,3.2,1.0,,3.6,4.2,1,1,1.0,10,0,0,Onsite,Master,Married,2018-12-09 20:36:20.207371,2025-07-01 20:36:20.207371,Q4,428,5-10 years
1002,44,Male,Marketing,Lead,2.1,2.1,5666.09,4.0,2.0,3.0,2.6,3.5,1,2,7.3,32,0,1,Hybrid,,Married,2025-10-13 20:36:20.207371,2026-02-02 20:36:20.207371,Q4,212,1-3 years
1003,37,Female,IT,Executive,8.7,3.2,7357.95,3.4,3.0,3.7,3.6,2.9,0,1,24.3,49,1,0,Onsite,PhD,Married,2026-02-09 20:36:20.207371,2025-05-09 20:36:20.207371,Q1,481,5-10 years
1004,22,Female,Marketing,Executive,1.5,0.4,3794.6,2.4,4.0,3.5,3.9,4.4,0,2,11.9,83,0,0,Remote,High School,Married,2019-10-05 20:36:20.207371,2026-05-09 20:36:20.207371,Q4,116,1-3 years
1005,29,Male,Engineering,Junior,1.8,0.5,4637.89,3.2,2.0,3.0,4.7,2.6,1,0,8.4,46,0,1,Onsite,Bachelor,,2017-11-08 20:36:20.207371,2023-08-06 20:36:20.207371,Q4,1123,1-3 years
1006,51,Male,IT,Senior,4.5,3.7,8514.64,4.4,2.0,2.9,2.8,3.2,1,2,5.2,44,0,1,Onsite,Master,Married,2021-11-08 20:36:20.207371,2026-01-14 20:36:20.207371,Q4,231,3-5 years
1007,22,Female,IT,Manager,1.1,1.1,5211.61,3.9,2.0,,3.1,3.2,1,5,1.8,58,0,0,Onsite,Master,Single,2022-07-25 20:36:20.207371,2024-09-21 20:36:20.207371,Q3,711,1-3 years
1008,30,Female,Engineering,Junior,0.5,0.5,4232.77,2.5,3.0,,3.2,3.7,0,0,23.4,46,0,0,Onsite,Master,Single,2017-03-23 20:36:20.207371,2025-11-23 20:36:20.207371,Q1,283,<1 year
1009,47,Female,Engineering,Manager,2.6,0.7,5386.71,3.1,4.0,1.7,2.6,3.3,1,2,12.0,79,1,0,Onsite,High School,Married,2025-12-23 20:36:20.207371,2024-06-02 20:36:20.207371,Q4,822,1-3 years
1010,26,Male,Engineering,Lead,3.8,2.8,5373.5,5.0,2.0,2.6,3.5,3.1,0,2,40.8,99,0,0,Onsite,High School,Divorced,2018-09-04 20:36:20.207371,2025-05-28 20:36:20.207371,Q3,462,3-5 years
1011,28,Female,Marketing,Junior,1.0,0.2,4626.55,3.2,3.0,4.7,3.3,3.6,0,1,15.8,51,0,1,Remote,Master,Married,2024-01-13 20:36:20.207371,2026-07-04 20:36:20.207371,Q1,60,<1 year
1012,34,Male,IT,Intern,11.4,1.3,7436.78,3.2,4.0,3.3,2.8,3.9,1,7,1.0,92,0,0,Onsite,Bachelor,Single,2018-06-28 20:36:20.207371,2023-06-24 20:36:20.207371,Q2,1166,>10 years
1013,49,Female,Engineering,Senior,0.5,0.5,5264.41,3.4,2.0,2.8,3.7,3.5,0,4,13.9,47,0,0,Onsite,Bachelor,Divorced,2016-10-13 20:36:20.207371,2024-08-08 20:36:20.207371,Q4,755,<1 year
1014,28,Male,Marketing,Junior,5.0,0.9,5309.11,4.4,3.0,1.5,3.1,3.4,1,3,18.2,67,0,1,Onsite,,Married,2026-07-15 20:36:20.207371,2026-06-11 20:36:20.207371,Q3,83,3-5 years
1015,30,Female,Sales,Manager,9.4,2.5,5876.54,3.0,3.0,3.4,2.7,2.6,0,3,1.2,53,0,1,Onsite,Bachelor,Married,2025-03-08 20:36:20.207371,2021-03-12 20:36:20.207371,Q1,2000,5-10 years
1016,30,Male,Operations,Senior,3.8,1.8,4777.96,3.6,3.0,3.6,3.7,1.9,1,4,3.3,24,1,0,Hybrid,Master,Married,2021-02-12 20:36:20.207371,2026-06-27 20:36:20.207371,Q1,67,3-5 years
1017,57,Female,Marketing,Lead,8.1,5.3,7828.13,3.8,4.0,3.1,2.7,3.4,1,2,2.7,72,0,0,Onsite,Master,Married,2017-08-17 20:36:20.207371,2024-09-07 20:36:20.207371,Q3,725,5-10 years
1018,56,Male,Engineering,Senior,8.0,2.0,6668.11,3.0,4.0,2.9,3.5,3.4,1,0,16.6,61,0,0,Hybrid,Bachelor,Married,2026-06-28 20:36:20.207371,2025-04-05 20:36:20.207371,Q2,515,5-10 years
1019,45,Female,Engineering,Senior,2.1,1.6,5736.29,3.6,3.0,2.6,3.1,3.4,0,3,5.4,42,0,0,Hybrid,Bachelor,Married,2026-05-20 20:36:20.207371,2026-05-04 20:36:20.207371,Q2,121,1-3 years
1020,38,Female,Operations,Senior,8.9,2.1,6086.67,4.0,3.0,3.6,2.6,3.2,1,2,14.0,57,0,0,Hybrid,Bachelor,Married,2024-12-07 20:36:20.207371,2025-10-24 20:36:20.207371,Q4,313,5-10 years
1021,42,Male,Operations,Junior,4.7,3.3,6409.75,2.2,3.0,2.4,2.9,4.7,0,2,20.2,47,0,0,Hybrid,Master,Single,2022-01-09 20:36:20.207371,2025-10-16 20:36:20.207371,Q1,321,3-5 years
1022,49,Female,Marketing,Junior,14.9,2.3,7336.05,3.3,3.0,3.7,4.1,3.5,1,1,31.7,40,0,1,Onsite,PhD,Married,2019-09-01 20:36:20.207371,2024-02-19 20:36:20.207371,Q3,926,>10 years
1023,25,Female,Sales,Manager,1.8,0.1,4615.3,3.4,2.0,2.3,4.3,4.6,0,1,10.4,53,0,0,Remote,Bachelor,Married,2018-05-02 20:36:20.207371,2023-03-11 20:36:20.207371,Q2,1271,1-3 years
1024,46,Female,Finance,Lead,0.5,0.5,5211.65,3.1,3.0,,3.6,2.9,0,2,24.7,190,0,0,Hybrid,Master,Single,2024-08-06 20:36:20.207371,2026-05-01 20:36:20.207371,Q3,124,<1 year
1025,22,Female,Engineering,Executive,7.1,0.1,5133.7,3.6,2.0,2.7,3.5,4.7,1,4,23.2,74,0,0,Onsite,Bachelor,Married,2021-03-18 20:36:20.207371,2024-06-08 20:36:20.207371,Q1,816,5-10 years
1026,28,Female,Sales,Manager,0.6,0.6,5161.76,,2.0,5.0,3.4,3.9,0,4,7.3,62,0,0,Hybrid,Bachelor,Single,2023-04-11 20:36:20.207371,2024-05-26 20:36:20.207371,Q2,829,<1 year
1027,44,Male,Engineering,Senior,6.8,1.0,6056.14,3.7,3.0,3.7,4.1,4.7,1,0,18.5,64,1,0,Hybrid,Bachelor,Single,2023-10-12 20:36:20.207371,2025-08-12 20:36:20.207371,Q4,386,5-10 years
1028,22,Female,Sales,Intern,1.0,0.3,,3.5,,3.1,2.9,4.6,0,0,3.6,66,0,0,Remote,Master,Single,2025-06-12 20:36:20.207371,2026-04-19 20:36:20.207371,Q2,136,<1 year
1029,33,Male,IT,Junior,5.1,1.6,5573.75,3.9,3.0,2.5,3.7,3.5,1,2,2.4,86,0,0,Onsite,Bachelor,Single,2024-06-30 20:36:20.207371,2025-10-28 20:36:20.207371,Q2,309,5-10 years
1030,26,Male,IT,Senior,2.2,2.2,5463.38,2.7,3.0,,5.0,3.0,0,5,3.8,82,0,0,Onsite,Bachelor,Single,2020-07-01 20:36:20.207371,2025-12-21 20:36:20.207371,Q3,255,1-3 years
1031,32,Female,IT,Executive,9.8,0.1,6348.94,3.1,2.0,3.3,4.0,3.6,0,1,11.9,68,0,0,Onsite,High School,Single,2018-03-09 20:36:20.207371,2025-12-21 20:36:20.207371,Q1,255,5-10 years
1032,22,Female,Operations,Senior,1.2,0.9,,3.3,3.0,4.0,4.0,3.9,0,2,8.9,57,1,0,Remote,Bachelor,Single,2017-10-06 20:36:20.207371,2026-04-28 20:36:20.207371,Q4,127,1-3 years
1033,22,Male,Sales,Lead,0.8,0.8,4407.91,2.5,3.0,3.8,2.4,2.6,0,2,7.3,49,0,0,Onsite,Bachelor,Married,2021-08-04 20:36:20.207371,2025-11-11 20:36:20.207371,Q3,295,<1 year
1034,28,Female,Sales,Senior,1.7,0.7,5523.1,3.7,3.0,3.2,1.4,3.5,0,2,21.9,52,0,0,Remote,PhD,,2023-02-01 20:36:20.207371,2026-07-25 20:36:20.207371,Q1,39,1-3 years
1035,44,Male,Finance,Junior,7.4,1.5,6312.22,2.9,2.0,3.1,2.7,4.4,0,2,3.4,81,0,0,Onsite,Master,Married,2018-07-09 20:36:20.207371,2025-06-21 20:36:20.207371,Q3,438,5-10 years
1036,33,Male,Sales,Executive,3.3,3.1,5077.12,2.0,2.0,4.2,4.9,4.3,0,3,33.8,40,0,0,Onsite,PhD,Single,2025-05-03 20:36:20.207371,2025-10-05 20:36:20.207371,Q2,332,3-5 years
1037,35,Female,Engineering,Junior,0.5,0.5,4994.98,3.0,2.0,2.6,4.1,3.7,1,1,21.9,52,0,1,Hybrid,Bachelor,Married,2017-12-26 20:36:20.207371,2023-10-13 20:36:20.207371,Q4,1055,<1 year
1038,41,Male,Marketing,Senior,1.0,1.0,4829.79,2.8,4.0,5.0,4.4,3.4,0,2,9.7,54,0,0,Onsite,Bachelor,Single,2018-03-27 20:36:20.207371,2022-09-14 20:36:20.207371,Q1,1449,<1 year
1039,26,Non-Binary,Marketing,Senior,0.5,0.5,5458.73,4.7,1.0,2.4,4.3,3.9,1,3,5.1,12,0,0,Onsite,Bachelor,Divorced,2023-05-14 20:36:20.207371,2026-06-12 20:36:20.207371,Q2,82,<1 year
1040,37,Female,Sales,Junior,3.6,3.6,,4.4,3.0,2.2,2.7,3.4,1,1,3.3,57,0,0,Onsite,Bachelor,Married,2025-05-17 20:36:20.207371,2023-04-25 20:36:20.207371,Q2,1226,3-5 years
1041,26,Female,Operations,Junior,3.5,3.2,5498.81,3.5,4.0,5.0,2.4,3.5,0,2,7.8,25,0,0,Onsite,Master,Single,2019-02-01 20:36:20.207371,2023-03-24 20:36:20.207371,Q1,1258,3-5 years
1042,22,Male,Operations,Junior,1.6,1.6,4342.57,3.5,3.0,3.5,3.5,3.9,1,2,14.2,69,0,0,Hybrid,Master,Married,2024-07-07 20:36:20.207371,2026-06-03 20:36:20.207371,Q3,91,1-3 years
1043,31,Female,Engineering,Manager,0.5,0.5,4123.34,3.6,4.0,3.3,3.4,2.7,0,2,1.5,17,0,0,Onsite,,Single,2025-01-06 20:36:20.207371,2024-02-09 20:36:20.207371,Q1,936,<1 year
1044,40,Male,Finance,Junior,6.4,2.0,6229.09,3.0,,4.1,3.4,3.3,0,2,4.1,18,0,0,Remote,High School,Married,2017-12-07 20:36:20.207371,2023-08-14 20:36:20.207371,Q4,1115,5-10 years
1045,38,Female,Marketing,Junior,0.5,0.2,4882.11,3.9,3.0,2.4,4.2,4.8,0,1,49.7,19,0,0,Hybrid,Master,Divorced,2018-11-10 20:36:20.207371,2023-08-05 20:36:20.207371,Q4,1124,<1 year
1046,34,Male,IT,Junior,4.1,0.3,5638.64,,3.0,4.3,2.9,3.9,0,1,10.2,54,0,0,Remote,PhD,Married,2021-11-11 20:36:20.207371,2026-05-10 20:36:20.207371,Q4,115,3-5 years
