student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade
1,18.5,95.6,3.8,97.9,A
3,19.5,86.3,5.3,100.0,A
4,25.7,70.2,7.0,100.0,A
5,13.4,81.9,6.9,92.0,A
6,13.4,65.1,5.0,97.5,A
7,26.1,81.8,5.9,100.0,A
8,20.4,100.0,4.0,96.1,A
13,16.7,77.9,2.5,95.2,A
18,17.2,74.0,8.1,100.0,A
21,25.3,89.3,6.4,100.0,A
26,15.8,81.1,5.0,97.2,A
28,17.6,83.9,8.9,100.0,A
32,28.0,89.2,6.5,100.0,A
35,20.8,85.2,7.7,97.4,A
37,16.5,86.8,4.6,99.5,A
41,20.2,85.6,5.6,100.0,A
42,16.2,84.2,7.0,100.0,A
44,12.9,78.7,3.7,100.0,A
48,22.4,85.9,5.8,90.3,A
52,12.3,84.6,6.8,91.0,A
53,10.3,90.3,6.0,92.7,A
54,19.3,77.7,8.2,100.0,A
55,22.2,80.2,4.1,100.0,A
56,21.5,84.1,7.7,100.0,A
58,12.8,83.7,4.9,91.9,A
60,21.8,94.7,6.0,100.0,A
65,20.7,85.8,6.8,96.5,A
66,24.5,82.0,8.4,100.0,A
68,22.0,85.0,9.7,92.2,A
71,17.5,82.9,5.2,93.2,A
72,25.8,82.6,7.0,100.0,A
74,26.0,88.5,9.0,100.0,A
76,20.8,81.6,4.4,97.5,A
77,15.6,90.1,7.7,90.8,A
79,15.6,100.0,6.1,91.7,A
83,25.3,85.0,4.3,100.0,A
86,11.5,84.1,4.5,93.3,A
87,21.4,100.0,4.6,100.0,A
88,17.3,64.7,8.9,98.4,A
90,18.6,80.6,4.4,93.9,A
91,15.7,74.6,3.3,100.0,A
92,21.8,92.7,7.9,100.0,A
99,15.0,80.7,6.0,100.0,A
107,28.2,97.9,6.3,100.0,A
108,16.2,100.0,5.0,93.6,A
109,16.8,81.5,4.9,100.0,A
110,14.5,82.3,3.9,100.0,A
112,14.8,75.1,5.5,93.8,A
114,32.2,84.4,4.9,100.0,A
116,17.1,77.8,9.3,100.0,A
117,14.8,97.8,5.0,100.0,A
119,23.0,99.6,7.8,100.0,A
120,20.3,96.1,7.7,95.4,A
121,20.5,79.3,8.2,92.1,A
123,24.8,80.0,6.6,100.0,A
126,30.3,75.7,1.1,100.0,A
133,7.6,77.9,4.6,92.6,A
134,18.3,97.3,7.5,97.3,A
136,25.8,77.7,6.9,100.0,A
