student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade,performance_category,study_efficiency
6,13.4,65.1,5.0,97.5,A,Excellent,7.276119402985074
9,11.7,100.0,8.2,69.8,C,Needs Improvement,5.965811965811966
10,18.8,67.6,6.0,80.3,B,Good,4.2712765957446805
11,11.8,82.3,4.6,66.4,C,Needs Improvement,5.627118644067797
14,1.6,92.1,5.7,60.9,C,Needs Improvement,38.0625
15,2.9,90.7,5.4,52.1,D,Needs Improvement,17.96551724137931
17,7.9,85.9,7.7,63.0,C,Needs Improvement,7.974683544303797
19,8.6,100.0,9.0,75.4,B,Average,8.767441860465118
20,5.1,91.4,4.5,57.9,C,Needs Improvement,11.352941176470589
24,5.0,74.2,5.0,58.7,C,Needs Improvement,11.74
25,11.2,96.1,4.9,68.3,C,Needs Improvement,6.098214285714286
27,6.9,73.6,6.1,68.4,C,Needs Improvement,9.91304347826087
29,10.8,86.2,3.4,63.6,C,Needs Improvement,5.888888888888888
33,14.9,68.4,7.2,82.6,B,Good,5.543624161073825
34,7.6,93.0,6.2,71.9,B,Average,9.460526315789474
36,6.5,86.4,8.2,61.6,C,Needs Improvement,9.476923076923077
38,1.3,92.9,8.6,50.1,D,Needs Improvement,38.53846153846154
39,5.7,93.4,8.3,56.7,C,Needs Improvement,9.947368421052632
43,14.2,76.5,6.1,63.6,C,Needs Improvement,4.47887323943662
45,4.7,100.0,3.3,55.9,C,Needs Improvement,11.893617021276595
50,2.7,77.5,6.4,51.1,D,Needs Improvement,18.925925925925924
57,9.1,81.4,5.4,76.9,B,Average,8.45054945054945
63,7.3,68.3,6.9,67.1,C,Needs Improvement,9.191780821917808
64,6.6,85.3,3.4,69.9,C,Needs Improvement,10.590909090909092
75,0.0,86.4,6.8,47.4,D,Needs Improvement,0.0
80,1.1,81.4,4.3,54.6,D,Needs Improvement,49.63636363636363
81,13.5,69.7,5.5,81.0,B,Good,6.0
82,17.5,64.4,6.4,79.5,B,Average,4.542857142857143
84,11.4,83.4,8.3,62.3,C,Needs Improvement,5.464912280701754
85,9.3,69.7,7.5,64.9,C,Needs Improvement,6.978494623655914
88,17.3,64.7,8.9,98.4,A,Excellent,5.687861271676301
89,11.3,80.9,4.2,69.2,C,Needs Improvement,6.123893805309734
96,4.8,79.9,4.2,73.6,B,Average,15.333333333333332
97,17.1,76.7,7.6,67.3,C,Needs Improvement,3.9356725146198825
100,13.4,91.1,6.0,63.9,C,Needs Improvement,4.76865671641791
101,5.1,62.6,8.3,72.9,B,Average,14.294117647058826
103,12.6,73.3,4.5,68.1,C,Needs Improvement,5.404761904761904
104,9.4,72.5,5.4,86.1,A,Good,9.159574468085106
111,1.6,97.0,5.3,43.5,D,Needs Improvement,27.1875
118,6.8,70.7,6.4,73.2,B,Average,10.764705882352942
122,8.6,88.4,6.7,76.7,B,Average,8.918604651162791
124,5.2,87.7,6.9,74.1,B,Average,14.249999999999998
127,8.1,88.9,4.5,74.0,B,Average,9.135802469135802
130,11.5,83.8,3.1,54.7,D,Needs Improvement,4.756521739130435
131,4.1,92.4,2.5,50.6,D,Needs Improvement,12.341463414634148
133,7.6,77.9,4.6,92.6,A,Excellent,12.18421052631579
135,8.6,80.4,6.1,70.6,B,Average,8.209302325581396
137,9.5,79.3,3.6,81.9,B,Good,8.621052631578948
140,6.4,84.1,4.8,54.8,D,Needs Improvement,8.562499999999998
143,3.7,71.7,1.2,58.2,C,Needs Improvement,15.72972972972973
147,6.3,89.3,5.6,58.9,C,Needs Improvement,9.34920634920635
148,5.8,69.8,9.7,62.3,C,Needs Improvement,10.741379310344827
159,6.7,89.3,4.4,54.8,D,Needs Improvement,8.17910447761194
161,8.2,93.6,6.8,72.0,B,Average,8.78048780487805
164,9.3,97.0,4.9,75.8,B,Average,8.150537634408602
170,9.7,80.5,9.9,72.9,B,Average,7.515463917525774
171,8.8,95.0,7.2,63.2,C,Needs Improvement,7.181818181818182
172,9.3,88.5,8.7,66.2,C,Needs Improvement,7.118279569892473
177,15.1,63.3,4.8,89.2,A,Good,5.9072847682119205
182,9.0,97.2,4.7,84.7,B,Good,9.411111111111111
183,7.5,85.6,8.2,80.1,B,Good,10.68
189,9.1,85.6,5.6,58.2,C,Needs Improvement,6.395604395604396
190,4.4,86.9,6.1,52.2,D,Needs Improvement,11.863636363636363
194,6.3,75.7,4.1,44.1,D,Needs Improvement,7.0
197,8.8,93.2,4.6,65.4,C,Needs Improvement,7.431818181818182
199,15.4,68.2,9.3,99.8,A,Excellent,6.48051948051948
200,7.0,78.7,5.2,53.2,D,Needs Improvement,7.6000000000000005
205,5.4,78.4,6.4,63.0,C,Needs Improvement,11.666666666666666
206,8.4,87.1,8.2,70.2,B,Average,8.357142857142858
210,40.0,68.1,6.7,100.0,A,Excellent,2.5
217,9.6,82.6,6.0,83.0,B,Good,8.645833333333334
222,1.9,78.8,10.0,46.4,D,Needs Improvement,24.42105263157895
224,3.7,100.0,5.0,63.1,C,Needs Improvement,17.054054054054053
227,15.4,97.2,8.9,65.7,C,Needs Improvement,4.266233766233766
228,7.5,76.3,6.5,54.2,D,Needs Improvement,7.2266666666666675
229,10.0,65.7,10.0,69.5,C,Needs Improvement,6.95
231,9.9,94.1,4.5,79.0,B,Average,7.979797979797979
237,0.8,91.0,4.2,53.0,D,Needs Improvement,66.25
241,9.5,81.8,4.9,55.0,C,Needs Improvement,5.7894736842105265
245,6.6,96.5,6.5,55.6,C,Needs Improvement,8.424242424242426
251,6.2,83.9,3.5,74.7,B,Average,12.048387096774194
255,4.4,83.1,6.5,38.9,F,Needs Improvement,8.84090909090909
256,11.6,81.8,6.0,69.5,C,Needs Improvement,5.991379310344827
257,23.9,68.3,7.0,100.0,A,Excellent,4.184100418410042
258,10.0,85.0,4.7,60.4,C,Needs Improvement,6.04
261,8.5,78.2,7.0,77.7,B,Average,9.141176470588235
262,14.6,66.7,1.1,81.2,B,Good,5.561643835616438
263,0.0,100.0,6.6,57.8,C,Needs Improvement,0.0
264,7.8,76.7,5.5,63.8,C,Needs Improvement,8.179487179487179
265,13.2,74.0,4.4,69.4,C,Needs Improvement,5.257575757575759
266,6.3,89.9,8.8,68.7,C,Needs Improvement,10.904761904761905
268,5.0,83.2,5.5,57.2,C,Needs Improvement,11.440000000000001
269,11.9,75.7,3.4,69.3,C,Needs Improvement,5.823529411764706
272,4.9,91.8,6.2,69.7,C,Needs Improvement,14.224489795918366
275,8.1,81.6,3.9,78.1,B,Average,9.641975308641975
278,10.8,77.5,8.7,69.6,C,Needs Improvement,6.444444444444444
284,6.3,76.6,4.1,43.9,D,Needs Improvement,6.968253968253968
286,1.3,82.9,5.5,54.5,D,Needs Improvement,41.92307692307692
287,13.9,88.5,8.0,62.1,C,Needs Improvement,4.467625899280575
301,9.2,89.2,3.9,62.9,C,Needs Improvement,6.836956521739131
323,9.3,70.9,6.1,80.3,B,Good,8.634408602150536
325,8.0,90.2,4.8,71.6,B,Average,8.95
326,6.5,86.0,8.6,75.5,B,Average,11.615384615384615
332,8.7,87.3,4.5,41.3,D,Needs Improvement,4.747126436781609
337,9.2,88.3,8.0,56.7,C,Needs Improvement,6.16304347826087
341,9.2,83.7,2.4,72.9,B,Average,7.9239130434782625
347,4.9,91.0,6.0,59.0,C,Needs Improvement,12.040816326530612
348,5.1,79.5,7.9,56.9,C,Needs Improvement,11.15686274509804
354,13.9,65.4,3.9,87.4,A,Good,6.287769784172662
356,8.0,94.8,6.2,68.8,C,Needs Improvement,8.6
360,9.2,82.3,6.9,72.1,B,Average,7.836956521739131
362,25.7,65.4,6.7,100.0,A,Excellent,3.8910505836575875
370,9.6,94.4,7.5,80.0,B,Average,8.333333333333334
376,9.6,89.8,3.2,82.4,B,Good,8.583333333333334
379,30.3,64.4,4.1,100.0,A,Excellent,3.3003300330033003
380,9.3,81.7,3.8,60.4,C,Needs Improvement,6.494623655913978
381,9.1,68.2,2.6,76.5,B,Average,8.406593406593407
383,0.1,100.0,9.0,33.8,F,Needs Improvement,337.99999999999994
384,11.3,76.4,6.7,67.3,C,Needs Improvement,5.95575221238938
385,9.7,96.9,10.0,87.6,A,Good,9.030927835051546
391,8.7,84.9,4.2,54.1,D,Needs Improvement,6.218390804597702
393,5.8,88.0,4.8,63.1,C,Needs Improvement,10.879310344827587
397,3.0,86.6,6.5,58.6,C,Needs Improvement,19.533333333333335
401,3.8,85.8,4.7,67.2,C,Needs Improvement,17.68421052631579
402,10.8,88.7,4.5,67.8,C,Needs Improvement,6.277777777777777
405,11.8,73.2,2.7,64.9,C,Needs Improvement,5.5
406,19.4,67.1,6.5,88.6,A,Good,4.56701030927835
407,7.5,87.5,7.6,81.3,B,Good,10.84
412,7.1,83.1,8.3,66.4,C,Needs Improvement,9.35211267605634
413,4.3,77.5,5.9,54.3,D,Needs Improvement,12.627906976744185
416,9.8,94.2,5.6,89.2,A,Good,9.10204081632653
419,23.3,66.9,4.6,100.0,A,Excellent,4.291845493562231
427,8.2,85.1,9.9,74.1,B,Average,9.036585365853659
430,2.7,88.0,5.1,47.0,D,Needs Improvement,17.407407407407405
431,6.7,90.2,4.2,46.4,D,Needs Improvement,6.925373134328358
432,0.7,89.0,6.8,54.4,D,Needs Improvement,77.71428571428572
438,5.3,97.0,3.7,78.9,B,Average,14.886792452830191
439,3.1,78.2,3.8,74.0,B,Average,23.870967741935484
443,0.5,89.4,8.9,45.8,D,Needs Improvement,91.6
445,5.9,89.5,8.3,69.6,C,Needs Improvement,11.796610169491524
448,8.4,95.8,6.2,89.5,A,Good,10.654761904761905
449,11.4,95.8,7.2,66.9,C,Needs Improvement,5.86842105263158
450,7.6,61.6,8.4,80.3,B,Good,10.56578947368421
451,14.6,92.6,2.8,67.3,C,Needs Improvement,4.60958904109589
453,8.1,99.4,4.8,78.7,B,Average,9.71604938271605
456,9.4,88.3,6.6,49.3,D,Needs Improvement,5.244680851063829
458,7.8,89.2,6.4,55.0,C,Needs Improvement,7.051282051282051
460,6.6,99.9,4.2,51.9,D,Needs Improvement,7.863636363636364
470,11.0,96.7,7.0,65.7,C,Needs Improvement,5.972727272727273
471,13.1,82.8,8.9,66.0,C,Needs Improvement,5.038167938931298
472,0.0,97.2,3.9,60.0,C,Needs Improvement,0.0
473,4.4,88.1,4.5,63.6,C,Needs Improvement,14.454545454545453
482,8.3,78.0,5.5,78.5,B,Average,9.457831325301203
483,3.8,88.3,6.5,67.7,C,Needs Improvement,17.815789473684212
485,9.7,79.7,4.8,74.0,B,Average,7.628865979381444
486,5.0,74.5,6.5,68.5,C,Needs Improvement,13.7
487,10.5,52.5,4.4,66.9,C,Needs Improvement,6.371428571428572
488,7.4,84.7,4.2,87.8,A,Good,11.864864864864863
494,9.0,90.3,3.4,85.5,A,Good,9.5
497,7.7,81.4,5.3,72.8,B,Average,9.454545454545453
499,8.9,87.4,4.0,63.5,C,Needs Improvement,7.134831460674157
500,5.3,74.2,8.9,72.7,B,Average,13.716981132075473
503,5.2,67.6,6.2,69.7,C,Needs Improvement,13.403846153846153
505,10.4,73.6,3.6,56.8,C,Needs Improvement,5.461538461538461
508,9.0,92.6,6.7,64.6,C,Needs Improvement,7.177777777777777
510,9.2,87.1,2.4,80.7,B,Good,8.771739130434783
514,8.6,88.3,9.3,63.2,C,Needs Improvement,7.348837209302326
518,8.2,85.4,3.9,65.8,C,Needs Improvement,8.02439024390244
521,3.3,90.4,6.3,66.1,C,Needs Improvement,20.03030303030303
523,10.4,60.2,7.7,63.3,C,Needs Improvement,6.086538461538461
525,9.7,85.1,7.6,63.5,C,Needs Improvement,6.54639175257732
526,2.4,77.1,6.6,79.1,B,Average,32.958333333333336
527,3.6,86.1,5.8,63.9,C,Needs Improvement,17.75
530,8.7,83.1,6.6,70.6,B,Average,8.114942528735632
532,3.4,90.9,4.4,55.1,C,Needs Improvement,16.205882352941178
534,6.5,81.6,6.6,43.0,D,Needs Improvement,6.615384615384615
537,9.0,82.4,7.5,77.6,B,Average,8.622222222222222
542,7.1,81.6,4.5,62.1,C,Needs Improvement,8.746478873239438
545,0.0,75.7,6.8,37.8,F,Needs Improvement,0.0
546,9.4,84.1,4.8,65.3,C,Needs Improvement,6.946808510638298
560,12.1,67.1,3.3,100.0,A,Excellent,8.264462809917356
567,0.7,94.0,6.1,63.1,C,Needs Improvement,90.14285714285715
568,7.9,68.0,7.0,61.8,C,Needs Improvement,7.822784810126581
569,1.9,97.1,8.5,58.9,C,Needs Improvement,31.0
576,0.0,82.6,8.4,61.9,C,Needs Improvement,0.0
579,4.6,75.5,6.6,58.1,C,Needs Improvement,12.630434782608697
588,9.1,80.8,3.1,72.0,B,Average,7.912087912087912
590,9.0,85.2,4.3,65.3,C,Needs Improvement,7.2555555555555555
592,11.7,77.2,6.3,67.8,C,Needs Improvement,5.794871794871795
596,11.4,87.0,8.9,67.3,C,Needs Improvement,5.9035087719298245
597,13.1,63.1,4.0,99.9,A,Excellent,7.625954198473283
598,8.1,84.5,4.6,74.1,B,Average,9.148148148148147
599,11.9,65.9,4.7,100.0,A,Excellent,8.403361344537815
601,20.3,69.7,3.6,89.6,A,Good,4.413793103448276
602,8.5,81.2,10.0,76.3,B,Average,8.976470588235294
607,9.6,83.5,6.9,77.4,B,Average,8.062500000000002
608,6.3,78.5,6.8,52.3,D,Needs Improvement,8.3015873015873
609,2.5,94.0,7.6,51.9,D,Needs Improvement,20.759999999999998
614,7.1,100.0,6.3,70.6,B,Average,9.943661971830986
621,9.5,79.8,4.7,73.6,B,Average,7.747368421052631
627,8.1,77.5,5.2,71.1,B,Average,8.777777777777777
628,14.1,85.0,5.3,69.3,C,Needs Improvement,4.914893617021277
631,3.2,86.8,4.4,66.2,C,Needs Improvement,20.6875
635,7.9,71.9,6.9,67.3,C,Needs Improvement,8.518987341772151
636,3.4,77.7,6.4,69.2,C,Needs Improvement,20.35294117647059
639,6.0,91.7,5.3,49.8,D,Needs Improvement,8.299999999999999
640,5.9,74.6,6.5,82.7,B,Good,14.016949152542372
644,4.5,73.1,5.3,65.7,C,Needs Improvement,14.600000000000001
647,0.0,80.5,6.7,44.5,D,Needs Improvement,0.0
654,7.3,100.0,6.4,78.6,B,Average,10.767123287671232
669,0.0,86.4,4.5,34.5,F,Needs Improvement,0.0
672,0.5,82.0,6.8,51.8,D,Needs Improvement,103.6
675,5.1,88.4,6.2,70.5,B,Average,13.823529411764707
676,9.6,78.0,6.1,76.2,B,Average,7.937500000000001
677,7.2,81.4,4.1,74.6,B,Average,10.36111111111111
682,7.1,91.7,6.2,83.2,B,Good,11.71830985915493
685,6.4,69.1,5.7,51.6,D,Needs Improvement,8.0625
687,13.3,57.2,8.2,95.1,A,Excellent,7.150375939849623
691,12.5,64.0,6.6,68.5,C,Needs Improvement,5.48
693,7.4,100.0,4.1,66.7,C,Needs Improvement,9.013513513513514
698,6.2,82.5,3.1,70.2,B,Average,11.32258064516129
704,5.1,81.0,3.4,62.9,C,Needs Improvement,12.333333333333334
705,4.1,68.5,5.4,71.4,B,Average,17.414634146341466
707,6.0,62.4,5.1,75.6,B,Average,12.6
709,0.4,91.7,5.4,50.5,D,Needs Improvement,126.25
713,11.2,89.9,8.5,61.4,C,Needs Improvement,5.482142857142858
722,3.0,91.5,9.1,46.6,D,Needs Improvement,15.533333333333333
723,5.6,68.4,3.3,71.2,B,Average,12.714285714285715
726,13.7,69.9,5.3,99.6,A,Excellent,7.2700729927007295
728,17.4,64.5,8.2,83.7,B,Good,4.810344827586207
730,9.6,96.0,7.5,80.7,B,Good,8.40625
732,8.2,93.2,3.8,81.6,B,Good,9.951219512195122
734,3.1,88.7,3.5,48.3,D,Needs Improvement,15.580645161290322
739,26.7,60.0,5.1,100.0,A,Excellent,3.7453183520599254
741,2.1,70.4,4.6,67.0,C,Needs Improvement,31.904761904761905
742,6.0,71.4,6.4,92.3,A,Excellent,15.383333333333333
746,9.9,75.0,4.3,84.0,B,Good,8.484848484848484
747,16.3,64.5,7.3,85.2,A,Good,5.226993865030675
748,9.7,85.6,4.6,76.2,B,Average,7.855670103092784
750,5.2,87.8,6.4,62.5,C,Needs Improvement,12.019230769230768
751,8.5,82.2,6.6,77.6,B,Average,9.129411764705882
752,5.5,64.4,4.4,76.0,B,Average,13.818181818181818
753,8.2,93.4,6.0,84.5,B,Good,10.30487804878049
755,8.4,79.1,6.7,83.0,B,Good,9.880952380952381
758,16.3,69.5,9.8,91.8,A,Excellent,5.631901840490797
759,9.0,96.7,7.3,62.0,C,Needs Improvement,6.888888888888889
766,10.1,63.8,3.1,67.8,C,Needs Improvement,6.712871287128713
776,4.0,92.1,6.6,74.8,B,Average,18.7
777,9.9,95.3,7.6,70.7,B,Average,7.141414141414142
782,5.7,91.7,7.8,80.2,B,Good,14.070175438596491
790,3.4,91.5,2.0,58.0,C,Needs Improvement,17.058823529411764
791,18.0,69.9,5.8,100.0,A,Excellent,5.555555555555555
794,6.1,94.1,5.3,74.6,B,Average,12.22950819672131
795,7.4,97.7,6.0,73.7,B,Average,9.95945945945946
804,11.8,83.6,6.2,68.5,C,Needs Improvement,5.805084745762712
810,8.7,90.1,4.2,74.1,B,Average,8.517241379310345
815,22.2,57.4,6.1,100.0,A,Excellent,4.504504504504505
816,4.6,93.4,5.5,51.4,D,Needs Improvement,11.173913043478262
817,16.9,64.0,5.0,80.3,B,Good,4.7514792899408285
819,15.6,65.4,4.4,88.4,A,Good,5.666666666666667
826,25.2,68.0,4.9,100.0,A,Excellent,3.9682539682539684
828,11.3,81.2,7.5,62.2,C,Needs Improvement,5.504424778761062
830,13.0,64.2,5.4,97.3,A,Excellent,7.484615384615385
831,5.6,76.0,9.1,60.5,C,Needs Improvement,10.803571428571429
832,8.6,59.9,7.2,65.2,C,Needs Improvement,7.58139534883721
833,8.0,79.4,4.8,71.7,B,Average,8.9625
834,9.6,89.3,4.7,77.6,B,Average,8.083333333333334
838,8.0,68.7,9.8,100.0,A,Excellent,12.5
841,14.7,79.6,2.5,68.3,C,Needs Improvement,4.64625850340136
843,7.1,75.0,4.8,64.4,C,Needs Improvement,9.07042253521127
845,16.2,67.9,5.7,70.5,B,Average,4.351851851851852
852,11.1,69.4,6.8,90.2,A,Excellent,8.126126126126128
857,9.2,79.4,8.3,62.0,C,Needs Improvement,6.739130434782609
862,4.4,82.0,5.1,55.3,C,Needs Improvement,12.568181818181817
865,10.7,75.4,6.4,65.7,C,Needs Improvement,6.140186915887851
872,9.4,100.0,6.6,95.8,A,Excellent,10.191489361702127
873,5.3,96.7,6.5,58.9,C,Needs Improvement,11.11320754716981
