student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade,performance_category,study_efficiency
114310,0.0,72.5,3.8,9.4,F,Needs Improvement,0.0
384795,0.0,84.0,5.0,12.2,F,Needs Improvement,0.0
128035,0.0,74.4,6.9,14.4,F,Needs Improvement,0.0
2119,0.0,79.8,2.7,14.6,F,Needs Improvement,0.0
430443,1.5,70.5,5.0,14.6,F,Needs Improvement,9.733333333333333
69237,0.8,73.6,7.2,14.7,F,Needs Improvement,18.374999999999996
172146,0.1,97.6,3.0,15.7,F,Needs Improvement,156.99999999999997
469885,2.4,87.6,4.2,15.9,F,Needs Improvement,6.625
429374,0.0,62.8,2.3,16.2,F,Needs Improvement,0.0
392504,2.3,95.9,6.2,16.4,F,Needs Improvement,7.130434782608695
324351,0.0,77.4,3.5,16.9,F,Needs Improvement,0.0
573675,4.6,85.3,4.7,17.3,F,Needs Improvement,3.7608695652173916
95733,1.6,84.3,9.0,17.7,F,Needs Improvement,11.062499999999998
340546,2.0,76.0,6.8,17.9,F,Needs Improvement,8.95
33859,1.2,75.9,6.1,18.1,F,Needs Improvement,15.083333333333336
829371,0.1,94.0,3.4,18.2,F,Needs Improvement,181.99999999999997
230329,0.0,85.0,5.4,18.3,F,Needs Improvement,0.0
765290,2.2,96.3,8.1,18.4,F,Needs Improvement,8.363636363636362
432459,0.0,85.1,3.4,18.5,F,Needs Improvement,0.0
541664,0.2,91.1,6.7,18.6,F,Needs Improvement,93.0
378233,0.0,95.2,6.2,18.9,F,Needs Improvement,0.0
882159,1.4,72.9,5.5,18.9,F,Needs Improvement,13.5
361573,0.0,73.7,5.6,19.0,F,Needs Improvement,0.0
345382,0.0,81.6,5.8,19.2,F,Needs Improvement,0.0
89398,0.0,100.0,6.7,19.3,F,Needs Improvement,0.0
805001,0.0,93.1,9.6,19.4,F,Needs Improvement,0.0
33022,0.3,79.5,0.8,19.5,F,Needs Improvement,65.0
739583,0.0,84.0,6.6,19.6,F,Needs Improvement,0.0
990350,0.0,99.7,6.8,19.6,F,Needs Improvement,0.0
869264,0.0,84.7,6.9,19.8,F,Needs Improvement,0.0
918052,0.0,78.9,5.8,19.8,F,Needs Improvement,0.0
217485,0.8,65.1,2.6,19.9,F,Needs Improvement,24.874999999999996
671780,0.6,61.8,8.8,19.9,F,Needs Improvement,33.166666666666664
707029,0.0,81.9,7.9,20.0,F,Needs Improvement,0.0
369026,0.0,94.2,7.4,20.1,F,Needs Improvement,0.0
479107,0.9,95.0,3.9,20.1,F,Needs Improvement,22.333333333333336
562790,2.6,67.9,5.1,20.1,F,Needs Improvement,7.730769230769231
678712,0.0,100.0,5.8,20.2,F,Needs Improvement,0.0
836252,0.0,79.2,5.9,20.2,F,Needs Improvement,0.0
326112,0.0,98.8,1.3,20.5,F,Needs Improvement,0.0
876615,0.2,100.0,4.8,20.5,F,Needs Improvement,102.5
972692,0.5,93.9,2.6,20.5,F,Needs Improvement,41.0
419670,0.0,85.7,8.6,20.6,F,Needs Improvement,0.0
745083,0.0,85.9,4.9,20.6,F,Needs Improvement,0.0
750738,0.9,100.0,3.9,20.6,F,Needs Improvement,22.88888888888889
