student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade,performance_category,study_efficiency
3,19.5,86.3,5.3,100.0,A,Excellent,5.128205128205129
4,25.7,70.2,7.0,100.0,A,Excellent,3.8910505836575875
7,26.1,81.8,5.9,100.0,A,Excellent,3.8314176245210727
18,17.2,74.0,8.1,100.0,A,Excellent,5.813953488372094
21,25.3,89.3,6.4,100.0,A,Excellent,3.952569169960474
28,17.6,83.9,8.9,100.0,A,Excellent,5.681818181818182
32,28.0,89.2,6.5,100.0,A,Excellent,3.5714285714285716
41,20.2,85.6,5.6,100.0,A,Excellent,4.9504950495049505
42,16.2,84.2,7.0,100.0,A,Excellent,6.172839506172839
44,12.9,78.7,3.7,100.0,A,Excellent,7.751937984496124
54,19.3,77.7,8.2,100.0,A,Excellent,5.181347150259067
55,22.2,80.2,4.1,100.0,A,Excellent,4.504504504504505
56,21.5,84.1,7.7,100.0,A,Excellent,4.651162790697675
60,21.8,94.7,6.0,100.0,A,Excellent,4.587155963302752
66,24.5,82.0,8.4,100.0,A,Excellent,4.081632653061225
72,25.8,82.6,7.0,100.0,A,Excellent,3.875968992248062
74,26.0,88.5,9.0,100.0,A,Excellent,3.8461538461538463
83,25.3,85.0,4.3,100.0,A,Excellent,3.952569169960474
87,21.4,100.0,4.6,100.0,A,Excellent,4.672897196261682
91,15.7,74.6,3.3,100.0,A,Excellent,6.369426751592357
92,21.8,92.7,7.9,100.0,A,Excellent,4.587155963302752
99,15.0,80.7,6.0,100.0,A,Excellent,6.666666666666667
107,28.2,97.9,6.3,100.0,A,Excellent,3.546099290780142
109,16.8,81.5,4.9,100.0,A,Excellent,5.9523809523809526
110,14.5,82.3,3.9,100.0,A,Excellent,6.896551724137931
114,32.2,84.4,4.9,100.0,A,Excellent,3.105590062111801
116,17.1,77.8,9.3,100.0,A,Excellent,5.847953216374268
117,14.8,97.8,5.0,100.0,A,Excellent,6.756756756756756
119,23.0,99.6,7.8,100.0,A,Excellent,4.3478260869565215
123,24.8,80.0,6.6,100.0,A,Excellent,4.032258064516129
