Year,Country,Sector,Expenditure_USD_Million,GDP_Percentage
2000,Australia,Total function,153122.633,37.36193
2000,Australia,Economic affairs n.e.c.,1226.21,0.2992
2000,Australia,RandD Economic affairs,35.946,0.00877
2000,Australia,Other industries,332.207,0.08106
2000,Australia,"General economic, commercial and labour affairs",827.909,0.20201
2000,Australia,Public order and safety,6840.687,1.66913
2000,Australia,Defence,8057.621,1.96606
2000,Australia,General public services,20083.177,4.9003
2000,Australia,Social protection,43606.701,10.64004
2000,Australia,"Recreation, culture and religion",4096.644,0.99958
2000,Australia,Health,24071.984,5.87357
2000,Australia,Housing and community amenities,2529.53,0.61721
2000,Australia,Environment protection,2051.8,0.50064
2000,Australia,Fuel and energy,2251.241,0.5493
2000,Australia,Transport,11417.379,2.78584
2000,Australia,"Mining, manufacturing and construction",905.018,0.22082
2000,Australia,"Agriculture, forestry, fishing and hunting",2195.583,0.53572
2000,Australia,Education,23066.666,5.62827
2001,Australia,Defence,7756.114,1.98351
2001,Australia,Public order and safety,6707.207,1.71527
2001,Australia,"Recreation, culture and religion",3666.0,0.93752
2001,Australia,Economic affairs n.e.c.,1194.76,0.30554
2001,Australia,Other industries,341.36,0.0873
2001,Australia,RandD Economic affairs,31.55,0.00807
2001,Australia,General public services,17269.715,4.41647
2001,Australia,"General economic, commercial and labour affairs",1012.184,0.25885
2001,Australia,Social protection,40553.572,10.37096
2001,Australia,Communication,289.122,0.07394
2001,Australia,Health,23604.012,6.03637
2001,Australia,Education,22339.428,5.71297
2001,Australia,"Agriculture, forestry, fishing and hunting",2023.851,0.51757
2001,Australia,"Mining, manufacturing and construction",1507.673,0.38556
2001,Australia,Transport,10073.224,2.57607
2001,Australia,Total function,145149.39,37.11976
2001,Australia,Fuel and energy,2169.188,0.55474
2001,Australia,Environment protection,2067.814,0.52881
2001,Australia,Housing and community amenities,2542.615,0.65024
2002,Australia,Economic affairs n.e.c.,1130.633,0.25925
2002,Australia,RandD Economic affairs,25.536,0.00586
2002,Australia,Other industries,417.807,0.0958
2002,Australia,"General economic, commercial and labour affairs",1225.169,0.28093
2002,Australia,Public order and safety,7577.031,1.7374
2002,Australia,Defence,9168.393,2.1023
2002,Australia,General public services,18244.966,4.18354
2002,Australia,Social protection,43771.401,10.0367
2002,Australia,Education,24663.112,5.65521
2002,Australia,"Recreation, culture and religion",4067.235,0.93261
2002,Australia,Housing and community amenities,2821.42,0.64695
2002,Australia,"Agriculture, forestry, fishing and hunting",2213.997,0.50767
2002,Australia,"Mining, manufacturing and construction",1199.09,0.27495
2002,Australia,Transport,11335.122,2.59912
2002,Australia,Total function,159275.222,36.52151
2002,Australia,Communication,431.933,0.09904
2002,Australia,Fuel and energy,2129.24,0.48823
2002,Australia,Environment protection,2410.676,0.55276
2002,Australia,Health,26442.46,6.06321
2003,Australia,Social protection,58197.143,10.39057
2003,Australia,RandD Economic affairs,33.076,0.00591
2003,Australia,Other industries,459.17,0.08198
2003,Australia,"General economic, commercial and labour affairs",1337.947,0.23888
2003,Australia,"Recreation, culture and religion",5395.89,0.96339
2003,Australia,Public order and safety,9944.782,1.77555
2003,Australia,Defence,10387.089,1.85452
2003,Australia,General public services,21591.993,3.85505
2003,Australia,Education,31344.157,5.59621
2003,Australia,Economic affairs n.e.c.,1356.755,0.24224
2003,Australia,Housing and community amenities,3674.653,0.65608
2003,Australia,Total function,203412.749,36.31748
2003,Australia,"Agriculture, forestry, fishing and hunting",2705.079,0.48297
2003,Australia,"Mining, manufacturing and construction",1580.503,0.28218
2003,Australia,Health,34097.229,6.08775
2003,Australia,Communication,313.896,0.05604
2003,Australia,Fuel and energy,2845.165,0.50798
2003,Australia,Environment protection,2991.736,0.53415
2003,Australia,Transport,15157.134,2.70617
2004,Australia,Social protection,68848.559,10.12157
2004,Australia,RandD Economic affairs,45.597,0.0067
2004,Australia,Other industries,658.943,0.09687
2004,Australia,"General economic, commercial and labour affairs",1734.139,0.25494
2004,Australia,"Recreation, culture and religion",6256.286,0.91975
2004,Australia,Public order and safety,11824.946,1.73841
2004,Australia,Defence,12925.882,1.90026
2004,Australia,General public services,26887.246,3.95275
2004,Australia,Economic affairs n.e.c.,1490.712,0.21915
2004,Australia,Education,38812.946,5.70597
2004,Australia,Housing and community amenities,4396.388,0.64632
2004,Australia,Environment protection,3963.957,0.58275
2004,Australia,Fuel and energy,3795.544,0.55799
2004,Australia,Communication,441.992,0.06498
2004,Australia,Transport,16958.233,2.49306
2004,Australia,"Mining, manufacturing and construction",2012.131,0.29581
2004,Australia,"Agriculture, forestry, fishing and hunting",2757.119,0.40533
2004,Australia,Total function,247286.179,36.35404
2004,Australia,Health,43474.088,6.39121
2005,Australia,Defence,14787.625,1.93852
2005,Australia,Public order and safety,13346.587,1.74962
2005,Australia,"Recreation, culture and religion",7192.968,0.94293
2005,Australia,General public services,29660.016,3.88816
2005,Australia,Other industries,639.188,0.08379
2005,Australia,RandD Economic affairs,17.564,0.0023
2005,Australia,Economic affairs n.e.c.,1753.377,0.22985
2005,Australia,"General economic, commercial and labour affairs",2005.386,0.26289
2005,Australia,Social protection,74894.996,9.81806
2005,Australia,Communication,496.383,0.06507
2005,Australia,Health,48391.974,6.34375
2005,Australia,"Agriculture, forestry, fishing and hunting",3695.379,0.48443
2005,Australia,"Mining, manufacturing and construction",2090.153,0.274
2005,Australia,Transport,19452.095,2.54999
2005,Australia,Total function,274650.114,36.00416
2005,Australia,Fuel and energy,3900.805,0.51136
2005,Australia,Environment protection,4584.286,0.60096
2005,Australia,Housing and community amenities,5218.892,0.68415
2005,Australia,Education,42523.203,5.57441
2006,Australia,General public services,31818.407,3.88263
2006,Australia,Economic affairs n.e.c.,1869.766,0.22816
2006,Australia,RandD Economic affairs,20.332,0.00248
2006,Australia,Other industries,628.025,0.07663
2006,Australia,"General economic, commercial and labour affairs",2374.294,0.28972
2006,Australia,"Recreation, culture and religion",7616.869,0.92944
2006,Australia,Public order and safety,15021.385,1.83298
2006,Australia,Defence,16215.686,1.97871
2006,Australia,Social protection,79408.968,9.68984
2006,Australia,Education,43984.313,5.36717
2006,Australia,Health,51528.139,6.2877
2006,Australia,"Agriculture, forestry, fishing and hunting",3966.947,0.48406
2006,Australia,"Mining, manufacturing and construction",2088.144,0.2548
2006,Australia,Transport,21707.512,2.64885
2006,Australia,Total function,293914.764,35.86481
2006,Australia,Fuel and energy,4060.322,0.49546
2006,Australia,Environment protection,5461.706,0.66646
2006,Australia,Housing and community amenities,5664.27,0.69118
2006,Australia,Communication,481.184,0.05872
2007,Australia,Social protection,93793.473,9.50598
2007,Australia,RandD Economic affairs,46.022,0.00466
2007,Australia,Other industries,708.744,0.07183
2007,Australia,"General economic, commercial and labour affairs",3029.942,0.30708
2007,Australia,"Recreation, culture and religion",9184.38,0.93084
2007,Australia,Public order and safety,18000.582,1.82436
2007,Australia,Defence,18223.999,1.847
2007,Australia,General public services,36491.51,3.69842
2007,Australia,Education,52590.115,5.33001
2007,Australia,Economic affairs n.e.c.,2309.483,0.23407
2007,Australia,Housing and community amenities,7381.979,0.74816
2007,Australia,Total function,351380.356,35.61243
2007,Australia,"Agriculture, forestry, fishing and hunting",5460.757,0.55345
2007,Australia,"Mining, manufacturing and construction",2032.513,0.206
2007,Australia,Health,62894.929,6.37441
2007,Australia,Communication,498.715,0.05054
2007,Australia,Fuel and energy,5357.834,0.54302
2007,Australia,Environment protection,6548.557,0.6637
2007,Australia,Transport,26825.988,2.71882
2008,Australia,Social protection,118889.931,11.2378
2008,Australia,RandD Economic affairs,184.536,0.01744
2008,Australia,Other industries,801.055,0.07572
2008,Australia,"General economic, commercial and labour affairs",3347.654,0.31643
2008,Australia,"Recreation, culture and religion",9883.588,0.93422
2008,Australia,Public order and safety,19349.454,1.82896
2008,Australia,Defence,21308.893,2.01417
2008,Australia,General public services,39564.551,3.73975
2008,Australia,Education,59332.566,5.60828
2008,Australia,Economic affairs n.e.c.,2540.727,0.24016
2008,Australia,Housing and community amenities,8023.129,0.75837
2008,Australia,Total function,404272.571,38.21295
2008,Australia,"Agriculture, forestry, fishing and hunting",4849.107,0.45835
2008,Australia,"Mining, manufacturing and construction",2461.88,0.2327
2008,Australia,Health,69445.986,6.56422
2008,Australia,Communication,481.472,0.04551
2008,Australia,Fuel and energy,6257.453,0.59147
2008,Australia,Environment protection,7596.179,0.71801
2008,Australia,Transport,29954.411,2.83137
2009,Australia,Social protection,100736.334,9.90501
2009,Australia,RandD Economic affairs,252.693,0.02485
2009,Australia,Other industries,821.252,0.08075
2009,Australia,"General economic, commercial and labour affairs",3644.549,0.35835
2009,Australia,"Recreation, culture and religion",10220.804,1.00497
2009,Australia,Public order and safety,19329.446,1.90059
2009,Australia,Defence,21069.44,2.07168
2009,Australia,General public services,42814.287,4.20976
2009,Australia,Economic affairs n.e.c.,3390.296,0.33335
2009,Australia,Education,67575.071,6.64439
2009,Australia,Housing and community amenities,8189.122,0.8052
2009,Australia,Environment protection,8529.945,0.83872
2009,Australia,Fuel and energy,7333.553,0.72108
2009,Australia,Communication,471.849,0.0464
2009,Australia,Transport,28736.017,2.8255
2009,Australia,"Mining, manufacturing and construction",2318.691,0.22799
2009,Australia,"Agriculture, forestry, fishing and hunting",4229.486,0.41587
2009,Australia,Total function,399484.847,39.27978
2009,Australia,Health,69820.45,6.86517
2010,Australia,General public services,54201.244,4.16581
2010,Australia,Defence,25038.538,1.92442
2010,Australia,Public order and safety,24006.579,1.8451
2010,Australia,Social protection,124987.217,9.6063
2010,Australia,"General economic, commercial and labour affairs",4921.298,0.37824
2010,Australia,Other industries,1016.365,0.07812
2010,Australia,Economic affairs n.e.c.,3697.624,0.28419
2010,Australia,"Recreation, culture and religion",12552.292,0.96475
2010,Australia,Education,83591.439,6.42469
2010,Australia,RandD Economic affairs,170.617,0.01311
2010,Australia,Housing and community amenities,8983.089,0.69042
2010,Australia,Health,88823.701,6.82683
2010,Australia,"Agriculture, forestry, fishing and hunting",4980.923,0.38282
2010,Australia,"Mining, manufacturing and construction",2307.919,0.17738
2010,Australia,Total function,491923.436,37.80837
2010,Australia,Communication,629.266,0.04836
2010,Australia,Fuel and energy,6677.005,0.51318
2010,Australia,Environment protection,11666.183,0.89664
2010,Australia,Transport,33672.137,2.58798
2011,Australia,Social protection,151534.375,9.79265
2011,Australia,RandD Economic affairs,244.465,0.0158
2011,Australia,Other industries,1467.823,0.09486
2011,Australia,"General economic, commercial and labour affairs",6220.968,0.40202
2011,Australia,"Recreation, culture and religion",14593.643,0.94309
2011,Australia,Public order and safety,28392.001,1.83478
2011,Australia,Defence,28770.561,1.85925
2011,Australia,General public services,70285.288,4.54207
2011,Australia,Education,90937.954,5.87671
2011,Australia,Economic affairs n.e.c.,4197.168,0.27123
2011,Australia,Housing and community amenities,8910.085,0.5758
2011,Australia,Total function,592950.82,38.31844
2011,Australia,"Agriculture, forestry, fishing and hunting",5125.517,0.33123
2011,Australia,"Mining, manufacturing and construction",3517.41,0.22731
2011,Australia,Health,111136.761,7.18202
2011,Australia,Communication,689.041,0.04453
2011,Australia,Fuel and energy,8308.722,0.53694
2011,Australia,Environment protection,15652.992,1.01155
2011,Australia,Transport,42963.982,2.77647
2012,Australia,Social protection,157874.133,9.92354
2012,Australia,RandD Economic affairs,240.215,0.0151
2012,Australia,Other industries,1493.061,0.09385
2012,Australia,"General economic, commercial and labour affairs",7417.677,0.46626
2012,Australia,"Recreation, culture and religion",14500.916,0.91149
2012,Australia,Public order and safety,28751.264,1.80723
2012,Australia,Defence,29706.947,1.8673
2012,Australia,General public services,69708.975,4.38172
2012,Australia,Economic affairs n.e.c.,4366.324,0.27446
2012,Australia,Education,94056.64,5.91215
2012,Australia,Housing and community amenities,9088.829,0.5713
2012,Australia,Environment protection,16628.684,1.04523
2012,Australia,Fuel and energy,7995.436,0.50257
2012,Australia,Transport,45968.06,2.88943
2012,Australia,"Mining, manufacturing and construction",4376.678,0.27511
2012,Australia,"Agriculture, forestry, fishing and hunting",4567.193,0.28708
2012,Australia,Total function,607321.779,38.1746
2012,Australia,Health,113194.122,7.11508
2013,Australia,Defence,29397.309,1.90486
2013,Australia,Public order and safety,27509.958,1.78256
2013,Australia,"Recreation, culture and religion",13914.269,0.9016
2013,Australia,Economic affairs n.e.c.,3926.27,0.25441
2013,Australia,Other industries,1400.791,0.09077
2013,Australia,RandD Economic affairs,208.526,0.01351
2013,Australia,General public services,70848.568,4.59078
2013,Australia,"General economic, commercial and labour affairs",7616.018,0.4935
2013,Australia,Social protection,156208.986,10.12188
2013,Australia,Education,89037.616,5.76937
2013,Australia,Health,108871.701,7.05456
2013,Australia,"Agriculture, forestry, fishing and hunting",4079.768,0.26436
2013,Australia,"Mining, manufacturing and construction",4473.651,0.28988
2013,Australia,Transport,43245.932,2.80221
2013,Australia,Total function,593808.08,38.47699
2013,Australia,Fuel and energy,7928.807,0.51376
2013,Australia,Environment protection,15877.887,1.02884
2013,Australia,Housing and community amenities,8646.097,0.56024
2013,Australia,Communication,610.131,0.03953
2014,Australia,Social protection,153434.859,10.48571
2014,Australia,RandD Economic affairs,237.073,0.0162
2014,Australia,Other industries,1292.633,0.08834
2014,Australia,"General economic, commercial and labour affairs",6709.254,0.45851
2014,Australia,"Recreation, culture and religion",13176.026,0.90045
2014,Australia,Public order and safety,27310.26,1.86638
2014,Australia,Defence,29845.047,2.0396
2014,Australia,General public services,68722.303,4.69647
2014,Australia,Education,84891.037,5.80144
2014,Australia,Economic affairs n.e.c.,3296.485,0.22528
2014,Australia,Housing and community amenities,8547.245,0.58412
2014,Australia,Total function,571976.74,39.08877
2014,Australia,"Agriculture, forestry, fishing and hunting",3674.18,0.25109
2014,Australia,"Mining, manufacturing and construction",4123.987,0.28183
2014,Australia,Health,105002.573,7.17585
2014,Australia,Communication,825.699,0.05643
2014,Australia,Fuel and energy,7712.532,0.52707
2014,Australia,Environment protection,12066.381,0.82461
2014,Australia,Transport,41110.068,2.80945
2015,Australia,Social protection,131441.124,10.55541
2015,Australia,RandD Economic affairs,166.781,0.01339
2015,Australia,Other industries,1126.896,0.0905
2015,Australia,"General economic, commercial and labour affairs",5330.217,0.42804
2015,Australia,"Recreation, culture and religion",11788.832,0.94671
2015,Australia,Public order and safety,23816.567,1.9126
2015,Australia,Defence,27358.024,2.19699
2015,Australia,General public services,57358.244,4.60617
2015,Australia,Economic affairs n.e.c.,2926.173,0.23499
2015,Australia,Education,72929.69,5.85664
2015,Australia,Housing and community amenities,6922.145,0.55588
2015,Australia,Environment protection,10688.231,0.85832
2015,Australia,Fuel and energy,6070.963,0.48753
2015,Australia,Communication,128.466,0.01032
2015,Australia,Transport,34344.027,2.75801
2015,Australia,"Mining, manufacturing and construction",3137.278,0.25194
2015,Australia,"Agriculture, forestry, fishing and hunting",3290.536,0.26425
2015,Australia,Total function,491934.333,39.50492
2015,Australia,Health,93110.891,7.47729
2016,Australia,Defence,29101.69,2.2258
2016,Australia,Public order and safety,24871.136,1.90223
2016,Australia,Economic affairs n.e.c.,2807.732,0.21475
2016,Australia,General public services,57546.979,4.4014
2016,Australia,"General economic, commercial and labour affairs",5043.064,0.38571
2016,Australia,Other industries,1211.703,0.09268
2016,Australia,RandD Economic affairs,150.162,0.01148
2016,Australia,"Recreation, culture and religion",11888.072,0.90924
2016,Australia,Social protection,131543.385,10.0609
2016,Australia,Fuel and energy,6381.884,0.48811
2016,Australia,Health,100048.024,7.65203
2016,Australia,Housing and community amenities,7087.348,0.54207
2016,Australia,Environment protection,11416.028,0.87314
2016,Australia,Transport,38668.941,2.95754
2016,Australia,"Mining, manufacturing and construction",3093.932,0.23663
2016,Australia,"Agriculture, forestry, fishing and hunting",3267.138,0.24988
2016,Australia,Total function,507644.146,38.82642
2016,Australia,Education,75031.929,5.73871
2017,Australia,Defence,31910.897,2.25959
2017,Australia,Public order and safety,27986.797,1.98173
2017,Australia,"Recreation, culture and religion",13872.303,0.98229
2017,Australia,Economic affairs n.e.c.,2804.351,0.19857
2017,Australia,Other industries,1367.303,0.09682
2017,Australia,RandD Economic affairs,342.592,0.02426
2017,Australia,General public services,58557.982,4.14645
2017,Australia,"General economic, commercial and labour affairs",5729.031,0.40567
2017,Australia,Social protection,138565.917,9.81176
2017,Australia,Education,82537.906,5.84446
2017,Australia,Health,106476.444,7.53953
2017,Australia,"Agriculture, forestry, fishing and hunting",3391.433,0.24015
2017,Australia,"Mining, manufacturing and construction",2887.125,0.20444
2017,Australia,Transport,44489.474,3.15027
2017,Australia,Total function,549332.488,38.89788
2017,Australia,Fuel and energy,7003.597,0.49592
2017,Australia,Environment protection,12932.666,0.91575
2017,Australia,Housing and community amenities,7908.746,0.56001
2017,Australia,Communication,564.856,0.04
2018,Australia,General public services,59282.935,4.07605
2018,Australia,Economic affairs n.e.c.,3023.732,0.2079
2018,Australia,RandD Economic affairs,552.894,0.03801
2018,Australia,Other industries,1421.087,0.09771
2018,Australia,"General economic, commercial and labour affairs",5897.287,0.40547
2018,Australia,"Recreation, culture and religion",13733.438,0.94426
2018,Australia,Public order and safety,29283.207,2.01339
2018,Australia,Defence,33567.388,2.30796
2018,Australia,Social protection,142450.142,9.79429
2018,Australia,Total function,565556.732,38.88539
2018,Australia,Health,108474.06,7.45824
2018,Australia,Housing and community amenities,8897.11,0.61173
2018,Australia,Environment protection,13173.819,0.90578
2018,Australia,Fuel and energy,7137.562,0.49075
2018,Australia,Communication,318.288,0.02188
2018,Australia,Transport,46033.653,3.16509
2018,Australia,"Mining, manufacturing and construction",2684.524,0.18458
2018,Australia,"Agriculture, forestry, fishing and hunting",3537.774,0.24324
2018,Australia,Education,86086.338,5.91895
2019,Australia,Defence,34566.405,2.51198
2019,Australia,Public order and safety,29125.345,2.11658
2019,Australia,Economic affairs n.e.c.,3020.494,0.2195
2019,Australia,General public services,55504.787,4.0336
2019,Australia,"General economic, commercial and labour affairs",41301.863,3.00146
2019,Australia,Other industries,1243.651,0.09038
2019,Australia,RandD Economic affairs,422.661,0.03072
2019,Australia,"Recreation, culture and religion",13431.291,0.97607
2019,Australia,Social protection,151800.491,11.03153
2019,Australia,Communication,497.043,0.03612
2019,Australia,Health,108333.188,7.87271
2019,Australia,Housing and community amenities,8576.951,0.6233
2019,Australia,Environment protection,13304.771,0.96687
2019,Australia,Fuel and energy,7117.799,0.51726
2019,Australia,Transport,44262.572,3.21662
2019,Australia,"Mining, manufacturing and construction",2767.454,0.20111
2019,Australia,"Agriculture, forestry, fishing and hunting",3408.396,0.24769
2019,Australia,Total function,606215.525,44.05445
2019,Australia,Education,87527.582,6.36074
2020,Australia,General public services,52395.417,3.6596
2020,Australia,Defence,35494.135,2.47912
2020,Australia,"Recreation, culture and religion",13957.2,0.97485
2020,Australia,Economic affairs n.e.c.,4009.4,0.28004
2020,Australia,Other industries,1341.972,0.09373
2020,Australia,RandD Economic affairs,559.499,0.03908
2020,Australia,Social protection,168762.997,11.78739
2020,Australia,"General economic, commercial and labour affairs",60814.744,4.24765
2020,Australia,Education,87142.177,6.08651
