Year,Country,Sector,Expenditure_USD_Million,GDP_Percentage,Expenditure_GDP_Ratio,Spending_Tier,GDP_Contribution,Decade,Growth_Indicator
2000,Australia,Total function,153122.64,37.36193,4098.2505,Mega Spender,Critical,2000,Not Calculated
2000,Australia,Health,24071.984,5.87357,4097.659,Moderate Spender,Significant,2000,Not Calculated
2000,Australia,Education,23066.666,5.62827,4097.63,Moderate Spender,Significant,2000,Not Calculated
2000,Australia,Social protection,43606.7,10.64004,4097.973,Moderate Spender,Critical,2000,Not Calculated
2000,Australia,General public services,20083.178,4.9003,4097.5205,Moderate Spender,Moderate,2000,Not Calculated
2000,Austria,Total function,100682.79,51.16005,1967.9579,Mega Spender,Critical,2000,Not Calculated
2000,Austria,Social protection,40996.27,20.83148,1967.9016,Moderate Spender,Critical,2000,Not Calculated
2000,Belgium,Total function,116971.375,49.52126,2361.9958,Mega Spender,Critical,2000,Not Calculated
2000,Belgium,Social protection,38899.234,16.46847,2361.8997,Moderate Spender,Critical,2000,Not Calculated
2000,Belgium,General public services,27018.346,11.43855,2361.8364,Moderate Spender,Critical,2000,Not Calculated
2000,Brazil,Total function,244151.94,37.24962,6554.3057,Mega Spender,Critical,2000,Not Calculated
2000,Brazil,Health,25159.482,3.83852,6552.7676,Moderate Spender,Moderate,2000,Not Calculated
2000,Brazil,Education,30618.75,4.67142,6553.0815,Moderate Spender,Moderate,2000,Not Calculated
2000,Brazil,Social protection,71893.03,10.96853,6553.8843,Major Spender,Critical,2000,Not Calculated
2000,Brazil,General public services,69447.3,10.59539,6553.8633,Major Spender,Critical,2000,Not Calculated
2000,Czechia,Total function,25253.031,40.84698,618.21985,Moderate Spender,Critical,2000,Not Calculated
2000,Denmark,Total function,86489.484,52.68678,1641.5474,Major Spender,Critical,2000,Not Calculated
2000,Denmark,Social protection,36687.086,22.34866,1641.5054,Moderate Spender,Critical,2000,Not Calculated
2000,Finland,Total function,60419.96,48.06429,1257.0394,Major Spender,Critical,2000,Not Calculated
2000,Finland,Social protection,24613.352,19.58001,1257.0012,Moderate Spender,Critical,2000,Not Calculated
2000,France,Total function,705385.06,51.68205,13648.287,Mega Spender,Critical,2000,Not Calculated
2000,France,Transport,27779.494,2.03534,13641.874,Moderate Spender,Moderate,2000,Not Calculated
2000,France,Health,95351.914,6.98623,13646.598,Major Spender,Significant,2000,Not Calculated
2000,France,Education,76478.81,5.60344,13646.112,Major Spender,Significant,2000,Not Calculated
2000,France,Social protection,278338.03,20.39323,13647.882,Mega Spender,Critical,2000,Not Calculated
2000,France,General public services,106499.914,7.80302,13646.802,Mega Spender,Significant,2000,Not Calculated
2000,France,Defence,26519.688,1.94304,13641.533,Moderate Spender,Minimal,2000,Not Calculated
2000,Germany,Total function,930312.44,47.87666,19431.035,Mega Spender,Critical,2000,Not Calculated
2000,Germany,Transport,35596.95,1.83193,19420.79,Moderate Spender,Minimal,2000,Not Calculated
2000,Germany,Health,126003.84,6.48453,19428.457,Mega Spender,Significant,2000,Not Calculated
2000,Germany,Education,79246.88,4.07828,19426.684,Major Spender,Moderate,2000,Not Calculated
2000,Germany,Social protection,392654.47,20.20717,19430.48,Mega Spender,Critical,2000,Not Calculated
2000,Germany,General public services,132783.16,6.83342,19428.592,Mega Spender,Significant,2000,Not Calculated
2000,Germany,Defence,21233.854,1.09276,19413.63,Moderate Spender,Minimal,2000,Not Calculated
2000,Germany,Public order and safety,30726.742,1.58129,19419.158,Moderate Spender,Minimal,2000,Not Calculated
2000,Germany,"Recreation, culture and religion",24059.184,1.23816,19415.719,Moderate Spender,Minimal,2000,Not Calculated
2000,Germany,"General economic, commercial and labour affairs",25100.096,1.29173,19416.348,Moderate Spender,Minimal,2000,Not Calculated
2000,Greece,Total function,60565.895,45.98106,1317.1636,Major Spender,Critical,2000,Not Calculated
2000,Hungary,Total function,22356.51,47.34702,472.17413,Moderate Spender,Critical,2000,Not Calculated
