Sector,Total_Expenditure,Average_Expenditure,Std_Dev
"Agriculture, forestry, fishing and hunting",6.1656715e+06,5041.43,26984.82
Communication,391853.75,341.34,967.6
Defence,2.504156e+07,16345.67,72443.63
Economic affairs n.e.c.,2.239802e+06,2340.44,21532.95
Education,5.928794e+07,37382.06,124955.37
Environment protection,5.9911685e+06,3949.35,10323.09
Fuel and energy,1.9077429e+06,1600.46,3228.59
"General economic, commercial and labour affairs",5.8934575e+06,5513.06,15266.41
General public services,6.6644188e+07,41993.82,122222.52
Health,7.5394024e+07,47507.26,179684.43
Housing and community amenities,1.1379761e+07,7202.38,27096.57
"Mining, manufacturing and construction",1.2691921e+06,1082.01,2956.94
Other industries,1.4686648e+06,1420.37,5002.41
Others,60333.52,1311.6,3652.69
Public order and safety,2.133865e+07,13591.5,43113.6
RandD Economic affairs,2.3171462e+06,2371.7,8581.91
"Recreation, culture and religion",7.6831665e+06,5011.85,9699.9
Social protection,1.4090754e+08,90267.48,226430.19
Total function,4.7163462e+08,287933.22,859909.22
Transport,1.4012541e+07,11457.52,24024.59
