Country,Total_Expenditure_USD_Million
United States of America,2.6276722e+08
China,8.071123e+07
Japan,6.8647304e+07
Germany,6.6943416e+07
France,5.9595348e+07
United Kingdom,4.8771124e+07
Italy,4.1697664e+07
Brazil,2.5917252e+07
Spain,2.358495e+07
Russian Federation,2.0890866e+07
Australia,1.9186834e+07
Canada,1.801132e+07
Netherlands (Kingdom of the),1.5376731e+07
"Korea, Republic of",1.3607245e+07
Sweden,1.0530089e+07
Belgium,1.0479206e+07
India,9.718786e+06
"Switzerland, Liechtenstein",8.443919e+06
Austria,8.415252e+06
Poland,8.3599995e+06
