customer_id,customer_name,age,gender,country,customer_segment,signup_date
1,Customer_00001,27.0,Male,UK,Standard,2023-04-08
2,Customer_00002,19.0,Female,Saudi Arabia,Budget,2025-04-28
3,Customer_00003,48.0,Female,Pakistan,Standard,2024-12-18
4,Customer_00004,50.0,Male,Pakistan,Premium,2024-04-26
5,Customer_00005,55.0,Male,Pakistan,Standard,2024-04-19
6,Customer_00006,63.0,Male,Pakistan,Budget,2025-07-30
7,Customer_00007,41.0,Female,India,Standard,2023-04-05
8,Customer_00008,57.0,Female,Germany,VIP,2025-02-03
9,Customer_00009,52.0,Female,Pakistan,Standard,2023-08-09
10,Customer_00010,31.0,Male,Pakistan,,2023-04-14
11,Customer_00011,58.0,Male,UK,Budget,2024-07-31
12,Customer_00012,20.0,Female,UAE,Standard,2025-12-05
13,Customer_00013,46.0,Male,Pakistan,Premium,2025-03-17
14,Customer_00014,63.0,Female,Pakistan,Premium,2025-04-14
15,Customer_00015,49.0,Male,Canada,Standard,2025-02-25
16,Customer_00016,62.0,Male,Pakistan,Premium,2025-05-11
17,Customer_00017,20.0,Female,Saudi Arabia,Standard,2024-07-16
18,Customer_00018,43.0,Male,USA,Premium,2023-05-21
19,Customer_00019,55.0,Female,Pakistan,Budget,2025-07-09
20,Customer_00020,48.0,Male,UK,Standard,2024-05-08
21,Customer_00021,60.0,Female,Pakistan,Premium,2024-07-02
22,Customer_00022,40.0,Female,Pakistan,Premium,2024-02-11
23,Customer_00023,50.0,Female,Pakistan,Premium,2023-07-20
24,Customer_00024,38.0,Female,Germany,Standard,2025-10-12
25,Customer_00025,59.0,Female,Pakistan,Premium,2025-05-06
26,Customer_00026,23.0,Female,Pakistan,Standard,2024-12-06
27,Customer_00027,30.0,Male,Canada,Budget,2024-03-17
28,Customer_00028,22.0,Male,Pakistan,Standard,2025-06-20
29,Customer_00029,51.0,Female,USA,Standard,2024-08-20
30,Customer_00030,29.0,Male,Saudi Arabia,Standard,2024-04-30
31,Customer_00031,33.0,Male,UAE,Premium,2024-05-08
32,Customer_00032,58.0,Female,UK,Standard,2023-09-07
33,Customer_00033,35.0,Male,UK,,2023-04-11
34,Customer_00034,24.0,Female,Pakistan,Budget,2024-08-30
35,Customer_00035,19.0,Female,Germany,Premium,2025-08-31
36,Customer_00036,28.0,Male,Canada,Budget,2023-03-11
37,Customer_00037,61.0,Female,Canada,Premium,2025-07-29
38,Customer_00038,44.0,Male,Saudi Arabia,Budget,2025-06-26
39,Customer_00039,65.0,Female,UAE,Standard,2023-10-31
40,Customer_00040,28.0,Female,UAE,Premium,2024-11-23
41,Customer_00041,34.0,Male,Pakistan,Standard,2023-07-01
42,Customer_00042,25.0,Male,India,Premium,2025-04-10
43,Customer_00043,37.0,Male,Saudi Arabia,Budget,2025-02-06
