product_id,product_name,category,subcategory,unit_price
1,Science Product 001,Books,Science,44.53
2,Camping Product 002,Sports,Camping,491.51
3,Smartphone Product 003,Electronics,Smartphone,146.92
4,Chair Product 004,Home,Chair,442.16
5,Shoes Product 005,Fashion,Shoes,187.84
6,Chair Product 006,Home,Chair,238.45
7,Shirt Product 007,Fashion,Shirt,271.34
8,Bag Product 008,Fashion,Bag,
9,Business Product 009,Books,Business,23.48
10,Monitor Product 010,Electronics,Monitor,231.98
11,Lamp Product 011,Home,Lamp,92.84
12,Running Product 012,Sports,Running,449.69
13,Cookware Product 013,Home,Cookware,190.21
14,Shirt Product 014,Fashion,Shirt,
15,Smartphone Product 015,Electronics,Smartphone,286.6
16,Headphones Product 016,Electronics,Headphones,1772.37
17,Shoes Product 017,Fashion,Shoes,252.5
18,Vacuum Cleaner Product 018,Home,Vacuum Cleaner,99.04
19,Technology Product 019,Books,Technology,11.45
20,Shoes Product 020,Fashion,Shoes,243.98
21,Fitness Product 021,Sports,Fitness,48.25
22,Football Product 022,Sports,Football,138.47
23,Vacuum Cleaner Product 023,Home,Vacuum Cleaner,564.85
24,Smartphone Product 024,Electronics,Smartphone,1641.04
25,Camping Product 025,Sports,Camping,386.15
26,Cookware Product 026,Home,Cookware,625.13
27,Vacuum Cleaner Product 027,Home,Vacuum Cleaner,400.72
28,Laptop Product 028,Electronics,Laptop,1420.93
29,History Product 029,Books,History,30.81
30,Vacuum Cleaner Product 030,Home,Vacuum Cleaner,553.95
31,Headphones Product 031,Electronics,Headphones,1249.15
32,Shoes Product 032,Fashion,Shoes,178.83
33,Fiction Product 033,Books,Fiction,79.42
34,Chair Product 034,Home,Chair,339.45
35,Business Product 035,Books,Business,51.44
36,Bag Product 036,Fashion,Bag,160.32
37,Lamp Product 037,Home,Lamp,197.15
38,Vacuum Cleaner Product 038,Home,Vacuum Cleaner,244.65
39,Monitor Product 039,Electronics,Monitor,1763.51
40,Cookware Product 040,Home,Cookware,286.64
41,Running Product 041,Sports,Running,342.91
42,Tablet Product 042,Electronics,Tablet,1055.41
43,Camping Product 043,Sports,Camping,446.0
44,Smartphone Product 044,Electronics,Smartphone,1383.23
45,Lamp Product 045,Home,Lamp,74.84
46,Jacket Product 046,Fashion,Jacket,116.3
47,History Product 047,Books,History,58.39
48,Laptop Product 048,Electronics,Laptop,357.53
49,Tablet Product 049,Electronics,Tablet,945.92
50,Jacket Product 050,Fashion,Jacket,105.56
51,Vacuum Cleaner Product 051,Home,Vacuum Cleaner,64.03
52,Jeans Product 052,Fashion,Jeans,299.19
53,Technology Product 053,Books,Technology,74.7
54,Tablet Product 054,Electronics,Tablet,1365.74
55,Football Product 055,Sports,Football,108.5
56,Smartphone Product 056,Electronics,Smartphone,1780.27
57,Fitness Product 057,Sports,Fitness,319.09
58,Cricket Product 058,Sports,Cricket,483.38
59,Shirt Product 059,Fashion,Shirt,27.13
60,Camping Product 060,Sports,Camping,95.0
