Feature,Score
loan_amount,233.9992627588122
credit_utilization,102.11218103429341
loan_to_income_ratio,102.11218103428824
age,81.9781032578973
employment_years,59.47299757196752
age_group_encoded,58.57093136939386
age_credit_interaction,54.86001581589196
debt_to_income,48.79013693159167
credit_score,46.179843240799876
income_per_dependent,34.590448682593326
home_Own,32.920978529610004
num_dependents,29.970217133098703
income_debt_interaction,28.197260911019004
home_Rent,22.235365709474618
edu_High School,15.121192196533201
dti_category_encoded,13.887214486735642
credit_score_bucket_encoded,8.331574972961308
edu_PhD,6.973607080478989
income,6.670781671706687
edu_Bachelor,4.221300380201084
marital_Married,2.6295437167499367
marital_Single,2.363531756629546
home_Mortgage,1.9244616147018512
marital_Divorced,0.09336548700275543
edu_Master,3.9944658911258776e-05
